index,titulo,empresa,ubicacion,modalidad,descripcion
1,Analista De Datos,Integrity Solutions,"Guayaquil, Guayas",,"**Detalles de la oferta**:Requerimos incorporar en nuestro equipo de trabajo a una persona proactiva para cumplir con funciones en el Departamento de Fábrica de SoftwareEn ISC Integrity Solutions & Consulting CIA. LTDA. hemos tenido la oportunidad de trabajar con diferentes entidades privadas y públicas en proyectos de Gestión de Procesos del Negocio, Gestión de Riesgos Operativos, Gestión de Seguridad de la Información, Fabrica de Software, Gobierno de TI, Gestión de Continuidad del Negocio, Automatización de Procesos, Optimización Tecnológica y Auditoria de TI.Nuestras líneas de negocios le proporcionan a nuestros clientes el respaldo adecuado en la búsqueda de soluciones integrales a nível empresarial, lo cual estamos en capacidad de lograrlo con la experiência de nuestros consultores y el compromiso de servicios de calidad que brindamos a todos nuestros clientes.**Requisitos**:**Conocimientos avanzados en**: SSIS: SQL Server Integration Service Intermedio SSRS: SQL Server Reporting Service Avanzado Python Intermedio SQL Server, MYSQL Intermedio Conocimientos en APIs Conocimientos en DevOps LINUX básico (opcional) Documentación Diseño de diagramasBeneficiosExcelente Ambiente de trabajoEstabilidad LaboralRemuneración justaCrecimiento profesional y personal**Fuente**:Whatjobs_Ppc***Requisitos**:"
2,Analista De Datos,Hitss Ecuador,"Guayaquil, Guayas",,"PERFIL: Ingeniero en estadística e informática, Ingeniero Industrial, Economista, Administración de empresas, Ingeniería en computación o carreras afines. Curso de formación en herramienta de Power BI. (INDISPENSABLE) Experiencia mínima de 1 a 2 años de experiencia en puestos donde haya realizado análisis de datos, creando reportes o trabajando con Power BI. Indispensable residir en el ciudad de Guayaquil. CONOCIMIENTOS: SQL para consultar bases de datos. Lenguajes de programación como Python o R para análisis avanzado de datos. Diseño y desarrollo de visualizaciones interactivas con Power BI. Implementación de proyectos con Power BI. (Desktop, Web, Gateway). Desarrollo con Lenguaje DAX. Modelamiento de datos. Excel."
3,Analista De Datos,Créditos Económicos,"Guayaquil, Guayas",,"del puesto Descripción del puesto: Analista de Datos En CRESA estamos en la búsqueda de un Analista de Datos para unirse a nuestro equipo en Guayaquil, Guayas, Ecuador. Como parte de nuestro departamento de Administración, Contabilidad y Finanzas, buscamos a un profesional semi senior apasionado por el análisis de datos y la generación de informes estratégicos. El Analista de Datos será responsable de recopilar, interpretar y analizar grandes volúmenes de datos para identificar tendencias, patrones y oportunidades de mejora. Además, colaborará estrechamente con diferentes áreas de la empresa para desarrollar informes que respalden la toma de decisiones efectivas y el logro de los objetivos comerciales. Buscamos a un candidato proactivo, con habilidades analíticas avanzadas y capacidad para trabajar en equipo. La persona seleccionada deberá tener experiencia previa en la manipulación de bases de datos, dominio de herramientas de análisis de datos y un enfoque orientado a resultados. Si te apasiona el mundo de los datos y buscas un desafío donde puedas demostrar tu talento, CRESA es el lugar ideal para ti Show more Show less"
4,Analista De Datos,CRECOSCORP S.A.,"Guayaquil, Guayas",,"del puesto Descripción del puesto: Analista de Datos En CRESA estamos en la búsqueda de un Analista de Datos para unirse a nuestro equipo en Guayaquil, Guayas, Ecuador. Como parte de nuestro departamento de Administración, Contabilidad y Finanzas, buscamos a un profesional semi senior apasionado por el análisis de datos y la generación de informes estratégicos. El Analista de Datos será responsable de recopilar, interpretar y analizar grandes volúmenes de datos para identificar tendencias, patrones y oportunidades de mejora. Además, colaborará estrechamente con diferentes áreas de la empresa para desarrollar informes que respalden la toma de decisiones efectivas y el logro de los objetivos comerciales. Buscamos a un candidato proactivo, con habilidades analíticas avanzadas y capacidad para trabajar en equipo. La persona seleccionada deberá tener experiencia previa en la manipulación de bases de datos, dominio de herramientas de análisis de datos y un enfoque orientado a resultados. Si te apasiona el mundo de los datos y buscas un desafío donde puedas demostrar tu talento, CRESA es el lugar ideal para ti"
5,Analista De Datos - Guayaquil,Cresa,"Guayaquil, Guayas",Presencial,"En CRESA estamos en búsqueda de un Analista de Datos para unirse a nuestro equipo en Guayaquil, Guayas, Ecuador. Este puesto se encuentra en el área de Cobranzas. La modalidad de trabajo es Presencial y requerimos un nível de educación Universitario (Graduado).Como Analista de Datos, estarás encargado de analizar y interpretar la información recopilada para identificar tendencias, patrones y oportunidades para el negocio. Tu labor será fundamental para la toma de decisiones estratégicas basadas en datos con el objetivo de impulsar el crecimiento y el éxito de la empresa.CRESA es una empresa de retail enfocada en la comercialización de artículos para el hogar y movilidad con una cultura integrada. Fruto de la unión de dos gigantes ecuatorianos: CRECOSCORP e ICESA.Contamos con presencia en 16 provincias del país a través de nuestros más de 220 locales. Comprometiéndonos a escuchar sus necesidades, siendo los valores la base de nuestra cultura.En CRESA empoderamos a nuestros colaboradores para que se desafíen constantemente, ofreciendo oportunidades de desarrollo y crecimiento profesional.CRESA es el lugar ideal para demostrar tu talento.CRESA #LÍDERESENRETAIL #SERVICIOEXCEPCIONAL #RETAIL #CRECOS #ORVE #JAPÓN #MOTOZONE #JAPÓNMOTOS #LOCOLUIS #PAGAMENOS**Requisitos**:**Educación**: Estadísticas, Economía o carreras afines**Experiência previa**: Mínimo 2 años como Analista de datos.Conocimientos técnicos- Conocimientos informáticos, matemáticos y estadísticos- Conocimientos en lenguaje de programación- Dominio de bases de datosBeneficiosSe comentará durante la entrevista."
6,Analista De Base De Datos / Guayaquil,Eficacia,"Guayaquil, Guayas",,"Análisis de datos estadísticos y sell out. -Elaboración de reportes analíticos. -Capacitación y refuerzo al personal sobre el manejo del aplicativo. -Brindar soporte al usuario en la utilización del aplicativo. -Controlar la información de cumplimiento de ruta y horarios de supervisores de cuenta.**Requisitos**:- Profesional en Marketing, Administración de Empresas o Ing. Comercial. -Conocimiento intermedio-avanzado de Excel y Power Point, Tablas dinámicas -Manejo de Power Bi (deseable). -Facilidad de Expresión verbal y escrita. -Trabajo Bajo Presión, Responsable, Ordenado/a y Metódico/a.Beneficios- Beneficios de ley y corporativos. -Buen ambiente laboral."
7,Analista De Datos,Platino Marketing Ecuador,"Guayaquil, Guayas",,"Cargo: Analista de Datos/ Analista de Información con enfoque en Trade Marketing Responsabilidades principales: Consolidar, procesar y analizar información de ventas, ejecución en punto de venta y KPIs de trade marketing. Elaborar reportes periódicos, dashboards y presentaciones para clientes internos y externos. Apoyar en la medición de resultados de activaciones, promociones y campañas en canal moderno y tradicional. Asegurar la calidad, integridad y consistencia de las bases de datos de la operación. Identificar tendencias, oportunidades y alertas para la mejora continua en proyectos de trade marketing. Coordinar con las áreas de operaciones, proyectos y clientes para la entrega oportuna de información. Requisitos: Título universitario o estudiantes de últimos años en Estadística, Ingeniería Comercial, Administración, Marketing, Economía o afines. Experiencia en análisis de datos, trade marketing, consumo masivo o áreas relacionadas. Dominio de Excel Intermedio - avanzado (tablas dinámicas, fórmulas, gráficos, etc.). Conocimientos en Power BI. Habilidad para generar reportes ejecutivos y presentaciones claras. Capacidad analítica, pensamiento crítico y orientación a resultados. Trabajo en equipo y buena comunicación. Enviar CV al correo: Show more Show less"
8,Analista De Datos Y Automatización Operativa,Cuport,"Guayaquil, Guayas",,"Sobre el rol En Cuport Seguridad Integral buscamos un Analista de Datos y Automatización Operativa que lidere la integración de nuestros sistemas de rastreo e incorpore información manual para digitalizarla, generando una sinergia entre plataformas o incluso desarrollando un propio sistema que centralice la información crítica de la operación. Este rol será clave para generar datos confiables, automatizados y auditables , fortaleciendo la trazabilidad de nuestras operaciones y la toma de decisiones estratégicas. Responsabilidades principales Integrar y automatizar data de distintas plataformas externas e internas en un sistema centralizado. Diseñar y mantener indicadores de gestión (KPIs) para vehículos, custodios, supervisores y clientes. Generar reportes automáticos y trazables para auditorías internas y de clientes. Desarrollar procesos de automatización (scripts, macros o herramientas BI) que reduzcan carga manual en operaciones. Analizar tendencias de consumo de combustible, mantenimiento y rutas para optimizar costos y detectar riesgos. Apoyar al área de operaciones con herramientas de auditoría digital (bitácoras, geocercas, alertas). Asegurar la calidad, consistencia y seguridad de los datos que se manejen en la empresa. Requisitos Formación en Ingeniería en Sistemas, Telecomunicaciones, Informática, Estadística o afines. Experiencia en integración de datos y manejo de APIs (ideal en plataformas de rastreo GPS/logística). Manejo de herramientas de BI : Power BI, Tableau o Google Data Studio. Conocimientos de Excel avanzado (macros, Power Query) y/o programación básica (Python o SQL). Experiencia generando indicadores de gestión y reportes automatizados. Habilidades blandas Pensamiento analítico y enfoque en resultados. Comunicación clara para trabajar con áreas operativas y gerenciales. Capacidad de convertir datos en información útil para auditorías y clientes. Proactividad para proponer mejoras en procesos y tecnología. Lo que ofrecemos Pertenecer a una empresa líder en seguridad integral con presencia nacional. Oportunidad de crecer en un proyecto innovador de automatización y trazabilidad operativa . Ambiente dinámico con enfoque en mejora continua y gestión basada en datos. ¿Interesado? Postula aquí en LinkedIn o envía tu hoja de vida a: con el asunto Analista de Datos"
9,Analista De Datos,Dreampack,"Guayaquil, Guayas",,"Analista de Datos en Dreampack, Ecuador - Guayaquil Objetivo: Analizar y procesar datos para la generación de informes, reportes y modelos predictivos que apoyen la toma de decisiones estratégicas en Dreampack. Garantizar la integridad y confiabilidad de la información a través del manejo eficiente de herramientas analíticas y bases de datos. Principales Tareas y Responsabilidades Desarrollar y mantener modelos de datos predictivos. Desarrollar y mantener reportes automatizados que faciliten la toma de decisiones en diferentes áreas de la empresa. Diseñar dashboards y reportes interactivos en Power BI u otras herramientas de visualización. Asegurar la calidad, integridad y seguridad de los datos analizados con distintas áreas de la empresa en la interpretación y uso. Implementar mejoras en el manejo de bases de datos. Requisitos Graduado/a en carreras como Estadística, Matemáticas, Ingeniería en Sistemas o carreras afines. Experiencia de 2 años en análisis de datos y elaboración de reportes. Experiencia en análisis de datos y manejo de herramientas analíticas. Dominio avanzado en Excel y SQL. Manejo de herramientas de visualización de datos como Power BI. Conocimientos en lenguajes de programación como Python o R. Conocimientos en SAP (no excluyente). Beneficios Oportunidades de desarrollo profesional. Prestador de servicios medicos externo. Capacitación continua. Alimentación subsidiada. Principales Habilidades Analítico. Comunicación efectiva. Resolución de problemas. Atención al detalle. Adaptabilidad. Trabajo en equipo. Recuerda que al dar clic en POSTULARME deberás completar tus evaluaciones en tu página de candidato. La postulación estará completa una vez que termines todas las evaluaciones"
10,Analista De Datos,EMCO,"Guayaquil, Guayas",,"Análisis de Datos se puede definir como la aplicación sistemática de técnicas estadísticas o lógicas para describir, ilustrar, condensar, recapitular y evaluar datos y una Analista de Datos recopila, procesa, realiza y evalúa análisis estadísticos en un gran conjunto de datos. Su función es encontrar las respuestas a las preguntas comerciales críticas. El propósito del análisis de datos es descubrir información útil y llegar a conclusiones a partir de grandes cantidades de datos para la toma de decisiones. En el mundo tecnológico actual, el análisis de datos está ayudando a las empresas de todas las industrias a operar de manera más sistemática y eficiente."
