index,titulo,empresa,ubicacion,modalidad,descripcion
1,Desarrollador De Front-End,Alexsoft S.A,"Guayaquil, Guayas",Presencial,"Ubicacion Presencial, Jornada Completa, Guayaquil. Guayas, Ecuador Desarrollador/a Frontend Web El candidato ideal será responsable del diseño, desarrollo, pruebas y depuración de aplicaciones web adaptables para la empresa. Utilizando JavaScript, HTML y CSS, podrá traducir las necesidades del usuario y del negocio en un diseño frontend funcional. Requisitos Título en Ingeniería en Informática, Computación o carrera afín (o experiencia equivalente). Familiaridad con metodologías de desarrollo Scrum / Agile. Conocimientos sólidos en React.js y su ecosistema (React Router, Hooks, etc.). Dominio de HTML5, CSS3 y JavaScript (ES6+). Experiencia utilizando herramientas de control de versiones como Git. Conocimiento en consumo de APIs RESTful y manejo de peticiones HTTP. Familiaridad con herramientas de construcción como Vite. Experiencia con librerías de estilos como Bootstrap, Material UI o similares. Habilidades Blandas Capacidad para trabajar en equipo y comunicarse de forma efectiva. Habilidad para resolver problemas y pensamiento analítico. Autonomía y proactividad en el cumplimiento de tareas. Interés por aprender y mantenerse actualizado en nuevas tecnologías. Postúlate enviando tu CV a soportecms1@asextreme.com con el asunto ""Postulación AlexSoft – [NOMBRE]""."
2,Desarrollador De Software,Samper HH,"Guayaquil, Guayas",,"Analizar, desarrollar e implementar los nuevos proyectos informáticos solicitados por Gerencia de Sistemas Mantenimiento y actualización constante del sistema informático ERP.**El perfil ideal que buscamos**: Determinar problemas, proponer alternativas y soluciones en el área de su competencia. Participar en la elaboración de los lineamientos, normas y procedimientos en el ámbito de su competencia. Documentar desarrollos de requerimientos actualizados. Participar en el diseño del plan estratégico de desarrollo y actualización de sistemas de información para la Organización.Innovadora empresa ecuatoriana dedicada al desarrollo y fabricación de empaques rígidos.**Requisitos**:- Título de tercer nível en carreras como: Sistemas, Informática, Electrónica, Telecomunicaciones o carreras afines.- Experiência de 2 años en cargos similares como Programador, Ingeniero de desarrollo de software, Desarrollador de software, Analistas de sistemas**Indispensable**:- Conocimiento en Base de datos - SQL, C#, Javascript, WebServices, Html5"
3,Desarrollador De Software Jr.,EQUASYSTEMS Modern Systems Experts,"Guayaquil, Guayas",,"Si eres alguien que disfruta de los desafíos y tiene una visión creativa, te invitamos a ser parte de nuestro equipo, donde valoramos las ideas de todos y trabajamos juntos para crear software extraordinario. El trabajo es 100% presencial en un entorno colaborativo y profesional. Responsabilidades Integrar elementos orientados al usuario desarrollados por el equipo front-end con la lógica del servidor. Escribir código reutilizable, comprobable y eficiente utilizando el patrón MVC. Diseñar e implementar aplicaciones y APIs con baja latencia, alta disponibilidad y rendimiento excepcional. Implementar medidas de seguridad y protección de datos. Integrar soluciones de almacenamiento de datos, incluyendo Back-End de bases de datos basadas en Transact SQL, como MySQL. Requisitos Ingles Internmedio (Preferible) Dominio de JavaScript y Node.js Experiencia con EJS (Embedded Javascript Templating). Conocimiento de la programación asíncrona y sus soluciones. Familiaridad con tecnologías Front-End como HTML5, CSS y Bootstrap. Conocimiento de accesibilidad y seguridad, incluyendo la prevención de ataques como la inyección SQL. Experiencia en equipos Agile / Scrum (preferible). Habilidad para integrar múltiples fuentes de datos y bases de datos en un sistema unificado. Competencia en el uso de herramientas de control de versiones, como Git / Github."
4,Desarrollador Full Stack,Agrosoft Latam,"Guayaquil, Guayas",Presencial,"Únete a nuestro equipo como Desarrollador Full Stack - IoT En Agrosoft LATAM, buscamos un Desarrollador Full Stack - IoT apasionado por la innovación y la tecnología, que quiera ser parte de la transformación digital en los sectores productivos de Ecuador y América Latina. Descripción del Puesto Buscamos un Desarrollador Full Stack - IoT con experiencia en C#, Angular, PLSQL y Oracle DB , capaz de trabajar en entornos Linux y con conocimientos en APIs, API Gateway e IoT . Será responsable del diseño, desarrollo e implementación de soluciones escalables y de alto rendimiento, asegurando la integración eficiente de múltiples sistemas y tecnologías. Responsabilidades • Desarrollo Backend: Implementación de servicios en C# (.NET 8/9) con acceso a bases de datos Oracle (PLSQL). • Desarrollo Frontend: Construcción de aplicaciones SPA en Angular (v18+) con integración a APIs REST. • Bases de Datos: Modelado y optimización de consultas en PLSQL sobre Oracle DB . • APIs y Middleware: Creación y mantenimiento de APIs RESTful , manejo de API Gateway y consumo de servicios externos. • Infraestructura & IoT: Integración de dispositivos IoT y protocolos de comunicación en entornos Linux . • DevOps & Seguridad: Gestión de despliegues en Linux (Ubuntu, Oracle Linux) , configuración de contenedores y monitoreo. • Optimización y Mejora Continua: Análisis y refactorización de código para mejorar el rendimiento y la escalabilidad. Requisitos Técnicos Backend: • Experiencia en C# .NET (6/7/8) • Desarrollo de APIs RESTful. Frontend: • Desarrollo con Angular 18+ , TypeScript. • Consumo de APIs RESTful desde Angular. Bases de Datos: • Experiencia en PLSQL y Oracle DB (19c+). • Optimización de queries y tunning de bases de datos. • Manejo de procedimientos almacenados, triggers, vistas, índices. Infraestructura & Middleware: • Experiencia en API Gateway (AWS API Gateway, Ocelot) . • Conocimientos en IoT y manejo de BLT LE. • Manejo de entornos Linux (Ubuntu, Oracle Linux) para despliegues y monitoreo. • Uso de Docker . Metodologías & DevOps: • Experiencia con CI/CD (GitHub Actions, Azure DevOps) . • Implementación de pruebas unitarias y de integración (xUnit, NUnit, Jest) . • Manejo de control de versiones (Git, GitFlow) . Habilidades Blandas • Trabajo en equipo: Capacidad de colaborar con equipos multidisciplinarios. • Orientación a resultados: Enfoque en la entrega de software de alta calidad. • Autogestión y proactividad: Capacidad de aprender nuevas tecnologías y proponer mejoras. • Comunicación efectiva: Para interactuar con equipos técnicos y de negocio. Modalidad de Trabajo • Ubicación: 100% Presencial • Disponibilidad: Tiempo completo. Si estás interesado en ser parte de nuestro equipo aplica enviando tu hoja de vida"
5,Desarrollador Full-Stack,CodersLab,"Guayaquil, Guayas",,"es una empresa global dedicada a transformar y hacer crecer los negocios de nuestros clientes mediante soluciones tecnológicas innovadoras. Contamos con más de 3.000 colaboradores en todo el mundo y oficinas en América Latina y Estados Unidos. Nuestro equipo está integrado por el top 1% de talento tecnológico, trabajando en proyectos desafiantes e innovadores que impulsan tu carrera. Actualmente en búsqueda de un Desarrollador FullStack Ssr. Funciones del cargo Buscamos un profesional semi-senior con experiencia comprobable en Angular y , conocimiento en Java Spring Boot y dominio de Oracle. El objetivo es asegurar la continuidad operativa, la calidad del código y la correcta integración entre frontend y backend, siguiendo estándares de desarrollo, seguridad y documentación técnica definidos por el área de tecnología. Responsabilidades Principales Desarrollar y mantener aplicaciones Full Stack basadas en Angular y , garantizando buenas prácticas y calidad del código. Implementar y consumir APIs RESTful, documentadas en Swagger / OpenAPI. Participar en la evolución del nuevo módulo (Angular + ) y brindar soporte al módulo anterior (Angular + Java Spring Boot). Diseñar y optimizar consultas sobre Oracle, colaborando en futuras migraciones parciales hacia PostgreSQL. Asegurar el cumplimiento de estándares de programación, manejo de tokens, seguridad y políticas internas. Trabajar en coordinación con arquitectos y líderes técnicos en la planificación, revisión y entrega de desarrollos. Documentar los avances y mantener trazabilidad de versiones y cambios. Requerimientos del cargo Frontend: Angular 14+ (Bootstrap, Angular Material, HTML5, CSS3). Backend: 20+ (principal) y Java 17+ con Spring Boot (para soporte de módulos legacy). Bases de datos: Oracle. Documentación: Swagger / OpenAPI. Control de versiones: Git. Opcionales Condiciones Modalidad de contratación: Contractor Modalidad de trabajo: Hibrida con 3 dias oficina, Guayaquil Show more Show less"
6,Desarrollador De .NET,SIPECOM S.A.,"Guayaquil, Guayas",,"🚀 ¡Únete a nuestro equipo como Desarrollador .NET Senior! 💻🧠 ¿Tienes experiencia sólida en desarrollo con tecnologías Microsoft, integración de servicios y manejo avanzado de bases de datos? ¡En Sipecom S.A. estamos buscando tu perfil para liderar soluciones empresariales complejas y de alto impacto! 🏢 Sobre nosotros: Sipecom S.A. es una empresa con más de 23 años de experiencia en el mercado ecuatoriano, especializada en soluciones tecnológicas como ERP, CRM y plataformas personalizadas para la gestión empresarial. Ayudamos a organizaciones de distintos sectores a optimizar sus procesos mediante innovación y tecnología. 🔍 Lo que buscamos: 🎓 Formación: Ingeniería en Sistemas, Informática o carreras afines. 🎓 Experiencia mínima requerida: 4 años. 👨💻 Experiencia comprobada en: Lenguajes y frameworks: C#, .NET Core, .NET Framework 2.0, SQL Bases de datos: SQL Server, Oracle, Informix, DB2 Servicios: REST, SOAP, XML, Linked Servers Pruebas y documentación: Postman, Swagger Control de versiones: Git, Azure DevOps Buenas prácticas: SOLID, control de calidad de código 💼 Lo que ofrecemos: ✨ Participación en proyectos estratégicos de transformación tecnológica. ✨ Desarrollo profesional y ambiente colaborativo. 📩 Interesados, por favor enviar su hoja de vida a seleccion@sipecom.com o etiqueta a alguien que pueda estar interesado. ¡Tu próximo reto profesional te está esperando en Sipecom S.A.!"
7,Desarrollador Python Junior,BairesDev,"Guayaquil, Guayas",,"En BairesDev llevamos 15 años liderando proyectos de tecnología para clientes como Google, Rolls-Royce y las startups más innovadoras de Silicon Valley. Actualmente, contamos con un equipo de 4000 profesionales conformado por el top 1% de la industria trabajando de forma remota desde más de 50 países. Al postularte a esta vacante, estarás dando el primer paso en un proceso que va más allá de lo convencional: Buscaremos conocer en profundidad tus habilidades, intereses y expectativas con el objetivo de realizar una búsqueda personalizada y encontrar el rol ideal para ti en BairesDev. Desarrollador Python Junior en BairesDev Sumérgete en el rol de Desarrollador Python Junior junto a nuestro equipo de desarrollo. Aquí, tendrás la oportunidad de destacarte en Python y frameworks clave. Tus contribuciones impactarán directamente en el desarrollo de aplicaciones de vanguardia, mientras colaboras con un equipo solidario y experimentado. Lo que harás Desarrollar y mantener aplicaciones Python, enfocándote en escribir código limpio, eficiente y bien documentado. Colaborar con equipos de desarrollo en diversos proyectos, contribuyendo a diferentes etapas del ciclo de vida del desarrollo de software. Identificar y solucionar errores de software, participando en la implementación de soluciones y optimizaciones. Participar en revisiones de código, tanto revisando el de otros como haciendo que revisen el tuyo, para mantener una alta calidad de software y aprender mejores prácticas. Mantenerte actualizado con nuevos frameworks y bibliotecas de Python. Aplicar estas tecnologías de manera efectiva en proyectos nuevos y existentes. Participar activamente en reuniones y discusiones de equipo, contribuyendo con ideas y comentarios para mejorar el desarrollo del proyecto. ¿Qué Buscamos? 1 año de experiencia con Python. Buen conocimiento de algoritmos básicos y estructuras de datos. Conocimiento básico de sistemas de control de versiones, preferiblemente Git. Capacidad para resolver problemas de manera efectiva y aprender nuevas tecnologías rápidamente. Buen nivel de inglés Qué ofrecemos para que tu trabajo (y tu vida) sea más fácil: Trabajo 100% remoto: trabaja desde tu casa o donde quieras. Compensación en USD o en tu moneda local, como prefieras, muy por encima de la media del mercado. Hardware y software. Horarios flexibles Licencias por mater/paternidad, vacaciones y días festivos nacionales pagos. Ambiente laboral multicultural e innovador, perfecto para hacer amigos, colaborar y aprender de las personas más talentosas del mundo. Oportunidades de crecimiento y desarrollo profesional a través de mentorías y entrenamientos. Únete a nuestro equipo global Show more Show less"
8,Desarrollador Full Stack,APS Ecuador,"Guayaquil, Guayas",,"En APS-EC, estamos buscando un Desarrollador Fullstack Senior apasionado por construir soluciones robustas, resilientes y altamente escalables. Si dominas tecnologías modernas tanto del lado del frontend como del backend, y te motiva resolver problemas complejos de forma autónoma, queremos que formes parte de nuestro equipo Tus Responsabilidades: Desarrollo Backend Escalable: Diseñar, desarrollar y mantener microservicios en y con principios de arquitectura limpia y DDD, asegurando la escalabilidad, mantenibilidad y resiliencia del sistema. Gestión de Datos y Performance: Crear y optimizar consultas SQL sobre bases de datos PostgreSQL, garantizando la integridad, eficiencia y seguridad de los datos. Sistemas Distribuidos y Comunicación Asíncrona: Implementar soluciones distribuidas utilizando Kafka y colas en Redis para garantizar la fluidez y la tolerancia a fallos de los procesos críticos. Despliegue y Contenedorización: Desarrollar y desplegar microservicios mediante Docker, integrándose a infraestructuras en Google Cloud, Firebase, Máquinas Virtuales en OVH. Diseño de APIs y Arquitectura de Servicios: Diseñar APIs REST limpias y eficientes, estructurando arquitecturas modernas basadas en principios SOLID, resiliencia y separación de responsabilidades. Desarrollo Frontend Modular: Construir interfaces ricas y dinámicas con Angular o React (usando Redux, TypeScript, HTML, CSS), diseñando componentes reutilizables y aplicando modelos como MVP y principios LIFT. Metodología y Trabajo Colaborativo: Trabajar de forma ágil bajo metodologías Scrum, utilizando herramientas como Jira y Git para planificación, seguimiento y versionamiento. Auditoría, Investigación y Resolución de Problemas: Realizar análisis de requerimientos, investigar tecnologías emergentes, auditar código y sistemas, y resolver incidentes críticos con un enfoque proactivo y autónomo. Calidad y Pruebas Automatizadas: Se requiere experiencia comprobada en el desarrollo de pruebas automatizadas utilizando enfoques TDD (Test-Driven Development) . El candidato debe tener dominio en la implementación de pruebas unitarias , pruebas de integración y end-to-end (E2E) , asegurando la estabilidad, confiabilidad y mantenibilidad del código en todo el ciclo de vida del desarrollo. ¿Qué Buscamos? 4+ años de experiencia comprobada desarrollando soluciones fullstack modernas. Dominio avanzado de , , Microservicios , PostgreSQL y consultas SQL. Experiencia con Kafka y colas en Redis para orquestación y comunicación entre servicios. Buen manejo de Docker , despliegues en Google Cloud y servicios en Firebase . Sólida experiencia con Angular o React , Redux , TypeScript , HTML, CSS. Capacidad de diseñar y construir arquitecturas de frontend escalables y componentes reutilizables. Aplicación de principios de arquitectura limpia , DDD , resiliencia , MVP , y LIFT . Alta capacidad de autonomía , resolución de problemas , análisis técnico y auditoría de sistemas . Buenas habilidades de comunicación , gestión del tiempo y trabajo en equipo multidisciplinario. Experiencia con herramientas de gestión como Scrum , Jira y control de versiones con Git . Deseable: conocimientos en CI/CD , infraestructura como código y experiencia previa en entornos DevOps. Si te identificas con este perfil y buscas un entorno donde puedas desarrollar tu potencial técnico y personal, envíanos tu CV y únete a un equipo de alto rendimiento en constante evolución."
9,Desarrollador Backend (Phyton),NexTI Business Solutions,"Guayaquil, Guayas",,"Resumen del Rol Ingeniero/a – desarrollador/a backend con experiencia en desarrollo de APIs, manejo de archivos estructurados y no estructurados, y diseño de sistemas robustos que puedan escalar a producción. El rol involucra integración con servicios externos y optimización del rendimiento en flujos de carga y consulta. Responsabilidades Desarrollar y mantener servicios backend RESTful. Procesar y almacenar información proveniente de archivos PDF, DOCX y TXT. Integrar modelos externos para análisis semántico de texto. Diseñar estructuras de base de datos eficientes y mantener integridad de los datos. Participar en el diseño y despliegue del sistema en entornos productivos. Requisitos Requisitos Sólida experiencia con Python y frameworks como Flask o FastAPI. Experiencia con bases de datos relacionales (PostgreSQL, MySQL) y ORMs (SQLAlchemy u otros). Familiaridad con buenas prácticas de desarrollo (logging, control de errores, seguridad). Experiencia trabajando con APIs de terceros y servicios en la nube. Deseables Conocimientos en almacenamiento de vectores y búsqueda semántica. Familiaridad con despliegue de servicios con Gunicorn, Docker o servicios en la nube. Experiencia en sistemas de gestión documental o procesamiento de CVs. Beneficios Desarrollo profesional Ambiente de trabajo innovador Compensación competitiva Descuentos en educación de cuarto nivel Beneficios salariales y bonificaciones Actualizacion con tecnologías actuales NexTI Business Solutions es un empresa de profesionales apasionados dedicados a la tecnología y al desarrollo de software. Combinamos experiencias, conocimientos, creatividad y metodologías para apoyar a nuestros clientes en el logro de sus objetivos estratégicos a través de la innovación y la transformación digital, aprovechando las nuevas tecnologías de la información"
10,Desarrollador Java Backend,BairesDev,"Guayaquil, Guayas",,"En BairesDev llevamos 15 años liderando proyectos de tecnología para clientes como Google, Rolls-Royce y las startups más innovadoras de Silicon Valley. Actualmente, contamos con un equipo de 4000 profesionales conformado por el top 1% de la industria trabajando de forma remota desde más de 50 países. Al postularte a esta vacante, estarás dando el primer paso en un proceso que va más allá de lo convencional: Buscaremos conocer en profundidad tus habilidades, intereses y expectativas con el objetivo de realizar una búsqueda personalizada y encontrar el rol ideal para ti en BairesDev. Desarrollador Java Backend en BairesDev Ser un Desarrollador Java Backend en nuestro Equipo de Desarrollo es como ser un solucionador de problemas a tiempo completo. Esperamos que tus habilidades combinen experiencia, conocimiento e independencia. La innovación también está en el centro de la estrategia de BairesDev. Por lo tanto, si estás dispuesto a asumir las tareas más complejas y ser un maestro de tu pila tecnológica, Java, entonces probablemente eres uno de esos únicos que estamos buscando. Principales responsabilidades: Trabajar con los equipos de desarrollo de software para recopilar los requisitos y garantizar las mejores prácticas se adhieren. Diseñar, implementar y apoyar soluciones para el desarrollo de aplicaciones, seguridad, análisis y gestión del rendimiento. Cumplir las normas de codificación de seguridad existentes en el sector y en Verizon, respetando los requisitos de revisión de fortify scan y otras herramientas de seguridad. Llevar a cabo revisiones de código para los miembros junior del equipo y hacer revisiones de código por pares para asegurarse de que el código sigue las normas establecidas por los arquitectos. Ejecutar secuencias de comandos de prueba contra el código para garantizar la entrega de calidad. Resolver problemas de código con urgencia. ¿Qué Buscamos?: 4+ años de experiencia en Java. Experiencia con bases de datos SQL y NoSQL. Experiencia con Microservicios y Cloud. Conocimiento avanzado de algoritmos. Conocimientos de infraestructura IT. Manejo intermedio de metodologías ágiles. Conocimiento sólido de buenas prácticas, principios SOLID, CLEAN Code y soluciones escalables. Conocimiento de patrones de diseño. Experiencia desarrollando aplicaciones completas desde cero. Experiencia en pruebas automatizadas, y CI/CD pipelines. Sólida experiencia con Control de Versiones. Nivel avanzado de inglés. Qué ofrecemos para que tu trabajo (y tu vida) seja mais fácil: Trabajo 100% remoto: trabaja desde tu casa o donde quieras. Compensación en USD o en tu moneda local, como prefieras, muy por encima de la media del mercado. Hardware y software. Horarios flexibles Licencias por mater/paternidad, vacaciones y días festivos nacionales pagos. Ambiente laboral multicultural e innovador, perfecto para hacer amigos, colaborar y aprender de las personas más talentosas del mundo. Oportunidades de crecimiento y desarrollo profesional a través de mentorías y entrenamientos. Únete a nuestro equipo global"
