titulo,empresa,ubicacion,salario,modalidad,jornada,Area,habilidades_hard,habilidades_soft
Probador De Software (QA) / Investigación Y,BairesDev,"Guayaquil, Guayas",,,,QA,"excel, machine learning, unix, linux, pruebas manuales, pruebas automatizadas, testing, casos de prueba, test automation, test planning","trabajo en equipo, comunicación, liderazgo, resolución de problemas, adaptabilidad, orientación a resultados, aprendizaje continuo, atención al detalle, creatividad, inglés avanzado"
QA Lead,Jelou AI,"Guayaquil, Guayas",,,tiempo completo,QA,"java, javascript, python, aws, gcp, jira, selenium, cypress, postman, soap ui, restful apis, scrum, ci/cd, devops, machine learning, pruebas manuales, pruebas automatizadas, casos de prueba, test automation, test planning","trabajo en equipo, liderazgo, orientación a resultados, aprendizaje continuo, atención al detalle, pensamiento crítico"
Analista Tester (QA),Integrity Solutions,"Guayaquil, Guayas",,,tiempo completo,QA,"java, javascript, c#, c++, html/css, sql, azure, git, excel, scrum, devops, machine learning, pruebas manuales, pruebas automatizadas, casos de prueba","trabajo en equipo, resolución de problemas, atención al detalle, proactividad"
Analista Tester (QA),Integrity Solutions,"Guayaquil, Guayas",,,tiempo completo,QA,"java, javascript, c#, c++, html/css, sql, azure, git, jmeter, postman, excel, devops, machine learning, pruebas manuales, pruebas automatizadas, casos de prueba","trabajo en equipo, atención al detalle, proactividad"
Sr. IT Support Engineer ‍ Join A QA Team In A,Prometeo Talent,"Guayaquil, Guayas",,,,QA,"powershell, excel, restful apis, machine learning, linux, windows, macos, esxi, hyper-v, testing, casos de prueba, test automation, test planning","trabajo en equipo, atención al detalle, proactividad, inglés avanzado"
Auxiliar De Producción Firmware Y QA Acuícola-Gye,Buscojobs Ecuador,"Guayaquil, Guayas",,,tiempo completo,QA,casos de prueba,"trabajo en equipo, atención al detalle, gestión del tiempo"
Auxiliar De Producción Firmware Y QA Acuícola-Gye,Gestalt Consultora,"Guayaquil, Guayas",,,tiempo completo,QA,casos de prueba,"atención al detalle, comunicación, pensamiento crítico"
QA Analyst Senior - Remote Work,BairesDev,"Anywhere, Guayas",,Remoto,tiempo completo,QA,"sql, casos de prueba","atención al detalle, comunicación, pensamiento crítico"
QA Automation Engineer/ Research + Development,BairesDev,"Guayaquil, Guayas",,,tiempo completo,QA,"unix, linux, casos de prueba","atención al detalle, comunicación, pensamiento crítico"
Senior QA Automation Engineer Latam,BairesDev,"Guayaquil, Guayas",,Remoto,tiempo completo,QA,"java, python, c++, excel, restful apis, machine learning, unix, linux, testing, casos de prueba, test automation, test planning","trabajo en equipo, adaptabilidad, inglés avanzado, mentoría"
Probador De Software (QA) / Investigación Y,BairesDev,"Guayaquil, Guayas",,,tiempo completo,QA,"excel, machine learning, unix, linux, pruebas manuales, pruebas automatizadas, testing, casos de prueba, test automation, test planning","trabajo en equipo, comunicación, liderazgo, resolución de problemas, adaptabilidad, orientación a resultados, aprendizaje continuo, atención al detalle, creatividad, inglés avanzado"
QA Engineer - Remote Work,BairesDev,"Anywhere, Guayas",,Remoto,,QA,"sql, excel, machine learning, casos de prueba, test automation, test planning","trabajo en equipo, adaptabilidad, aprendizaje continuo, inglés avanzado"
