titulo,empresa,ubicacion,modalidad,descripcion,Area
Probador De Software (QA) / Investigación Y,BairesDev,"Guayaquil, Guayas",,"BairesDev se enorgullece de ser la empresa de software outsourcing de más rápido crecimiento de América. Nuestros equipos están conformados por personas de todo el mundo, lo que nos permite contar con una fuerte esencia multicultural. Para ofrecer constantemente soluciones de la más alta calidad, contratamos solo al 1% superior de los mejores talentos y los desafiamos a proyectos emocionantes.Sobre la posición:Estamos buscando al mejor talento para la posición de QA Software Senior para unirse al equipo de Investigación y Desarrollo (I+D) de BairesDev.Nuestro equipo de I+D es una parte esencial de nuestras soluciones tecnológicas que generan millones de ingresos cada año, por lo que sólo contratamos a los mejores talentos de todo el mundo.Dentro del equipo encontrarás muchos retos diferentes: Análisis de datos, Machine Learning, Desktop y Desarrollo web son algunos de los más relevantes en este momento, pero para impulsar la innovación, te darás cuenta de que algo nuevo se presenta cada día.El área de I+D es sin duda la más interesante y desafiante de toda la empresa, y aunque BairesDev está conformada por gente realmente talentosa en general, aquí encontrarás profesionales con amplia experiência y del más alto nível intelectual y creativo.¿Estás listo para sumarte a nuestro equipo?Principales responsabilidades:- Analizar requisitos del usuario final para definir y documentar los planes de prueba.- Ejecutar casos de prueba, depurar, detectar errores y/o posibles mejoras, documentarlos y hacer un seguimiento para su resolución.- Generar informes de los resultados de las pruebas y errores detectados.- Definir las prioridades y planificar las pruebas de los requisitos del sistema.- Documentar las funcionalidades de los sistemas.- Representar al usuario final ante los desarrolladores para garantizar el cumplimiento de los requisitos.- Detectar y proponer mejoras tanto en el proceso de control de calidad como en el ciclo de desarrollo del software.¿Qué Buscamos?- 4+ años de experiência en testing de productos Web.- Sólidos conocimientos en herramientas de Testing.- Desarrollar planes de pruebas: Creación de casos de pruebas y depuración.- Conocimientos en Tecnologías Web.- Sólidos conocimientos en sistemas operativos de Unix y Linux.- Nível de Inglés y Portugués avanzado.¿Cómo haremos la vida y el trabajo más fácil?- Trabajo 100% remoto.- Configuración de hardware para trabajar desde casa.- Horario flexible.- Licencias por paternidad y maternidad, vacaciones y feriados pagados.- Ambiente laboral diversificado y multicultural.- Un entorno innovador con la estructura y los recursos de una multinacional líder.- Excelente remuneración - por encima de la media del mercado y tus expectativas.- Aquí puedes crecer tan rápido como aprendas.Nuestra gente trabaja de forma remota con una cultura sólida y constante que promueve la diversidad y el trabajo en equipo. Para continuar siendo la empresa líder en desarrollo de software de América, queremos asegurarnos de que cada miembro de BairesDev tenga las mejores oportunidades de crecimiento y desarrollo profesional en un entorno diverso, acogedor e innovador. Cada persona del equipo aporta algo esencial a BairesDev, ¡cuéntanos tu historia!¡Postúlate ya!",QA
QA Lead,Jelou AI,"Guayaquil, Guayas",,"Propósito del Cargo El QA Lead es responsable de liderar la estrategia de aseguramiento de calidad del software, garantizando que los productos y soluciones tecnológicas desarrolladas cumplan con los más altos estándares de funcionalidad, rendimiento, seguridad y experiencia de usuario. Su rol combina liderazgo técnico, gestión de procesos y mejora continua, trabajando de forma estrecha con los equipos de desarrollo, producto y DevOps para asegurar la entrega de soluciones confiables, escalables y alineadas a los objetivos del negocio. Responsabilidades Principales Definir la estrategia de pruebas y el alcance del trabajo de QA en cada ciclo de desarrollo, alineado a metodologías ágiles. Diseñar y mantener planes de prueba detallados, casos de prueba y criterios de aceptación, asegurando una cobertura completa de los requerimientos funcionales y no funcionales. Supervisar la ejecución de pruebas funcionales, de rendimiento, seguridad y usabilidad, garantizando la calidad antes de cada entrega. Realizar seguimiento del progreso de pruebas, consolidando reportes y métricas que permitan evaluar la calidad de las entregas. Gestionar y priorizar defectos identificados durante las pruebas, asegurando su trazabilidad y resolución oportuna. Colaborar con los equipos de desarrollo para diagnosticar problemas técnicos y validar correcciones en entornos de prueba y producción. Implementar procesos de mejora continua en prácticas, herramientas y documentación de QA. Identificar y ejecutar acciones preventivas y correctivas para evitar la recurrencia de defectos. Evaluar y proponer herramientas de automatización que incrementen la eficiencia y cobertura del proceso de pruebas. Capacitar y guiar al equipo de QA, fomentando buenas prácticas, estandarización de procesos y colaboración entre equipos técnicos. Requisitos del Cargo Formación Académica Título en Ingeniería en Informática, Ingeniería de Software, Sistemas de la Información o carreras afines. Experiencia Mínimo 4 años de experiencia en desarrollo o aseguramiento de calidad de software. Experiencia previa liderando equipos técnicos o de QA (deseable en entornos ágiles). Experiencia en entornos de desarrollo continuo (CI/CD) y automatización de pruebas. Conocimientos Técnicos Requeridos ÁreaConocimientos / HerramientasPruebas de SoftwarePrincipios ISTQB, planificación, diseño de casos de prueba, gestión de defectos.Automatización de PruebasPostman, SoapUI, Selenium, Cypress, o similares.Metodologías de DesarrolloScrum, Kanban, integración continua, entrega continua.Lenguajes de programación / scriptingJavaScript, Python o similares para pruebas automatizadas.Gestión de incidenciasJira, ClickUp, TestRail o herramientas equivalentes.Seguridad y rendimientoPruebas de estrés, seguridad, APIs, UX.Cloud y DevOpsFamiliaridad con pipelines de CI/CD y despliegues en AWS/GCP. Show more Show less",QA
Analista Tester (QA),Integrity Solutions,"Guayaquil, Guayas",,"**Detalles de la oferta**:Requerimos incorporar en nuestro equipo de trabajo a una persona proactiva para cumplir con funciones en el Departamento de Fábrica de SoftwareEn ISC Integrity Solutions & Consulting CIA. LTDA. hemos tenido la oportunidad de trabajar con diferentes entidades privadas y públicas en proyectos de Gestión de Procesos del Negocio, Gestión de Riesgos Operativos, Gestión de Seguridad de la Información, Fabrica de Software, Gobierno de TI, Gestión de Continuidad del Negocio, Automatización de Procesos, Optimización Tecnológica y Auditoria de TI. Nuestras líneas de negocios le proporcionan a nuestros clientes el respaldo adecuado en la búsqueda de soluciones integrales a nível empresarial, lo cual estamos en capacidad de lograrlo con la experiência de nuestros consultores y el compromiso de servicios de calidad que brindamos a todos nuestros clientes.**Requisitos**:Ingeniero en sistemas o Analista de Sistemas 3 o más años de experiência en análisis y desarrollo de aplicaciones Lenguajes de programación: VB.Net, ASP.Net Core, Java, JavaScript, C#, Bootstrap, HTML5, Angular, React Git, Azure Devops Base de Datos (SQL Server, ORACLE, PL/SQL) Manejo de herramientas de gestión y automatización de pruebas Conocimientos en metodología y/o frameworks ágiles de desarrollo y de calidadBeneficiosExcelente Ambiente de trabajo Estabilidad Laboral Remuneración justa Crecimiento profesional y personal**Fuente**:Whatjobs_Ppc**Área***:- Tecnologías de la Información / Tecnologías de la Información en General***Requisitos**:**Conocimientos***:- ASP.NET- Seguridad",QA
Analista Tester (QA),Integrity Solutions,"Guayaquil, Guayas",,"**Detalles de la oferta**:Requerimos incorporar en nuestro equipo de trabajo a una persona proactiva para cumplir con funciones en el Departamento de Fábrica de SoftwareEn ISC Integrity Solutions & Consulting CIA. LTDA. hemos tenido la oportunidad de trabajar con diferentes entidades privadas y públicas en proyectos de Gestión de Procesos del Negocio, Gestión de Riesgos Operativos, Gestión de Seguridad de la Información, Fabrica de Software, Gobierno de TI, Gestión de Continuidad del Negocio, Automatización de Procesos, Optimización Tecnológica y Auditoria de TI.Nuestras líneas de negocios le proporcionan a nuestros clientes el respaldo adecuado en la búsqueda de soluciones integrales a nível empresarial, lo cual estamos en capacidad de lograrlo con la experiência de nuestros consultores y el compromiso de servicios de calidad que brindamos a todos nuestros clientes.**Requisitos**:Ingeniero en sistemas o Analista de Sistemas Experiência mínima de 2 años en el área de prueba de software y/o control de calidad de software. Lenguajes de programación: VB.Net, ASP.Net Core, Java, JavaScript, C#, Bootstrap, HTML5, Angular, React Git, Azure Devops, jmeter, postman Base de Datos (SQL Server, ORACLE, PL/SQL) Manejo de herramientas de gestión y automatización de pruebas Conocimiento en aplicativos de medios de pagos Conocimiento de protocolos de mensajería ISO8583 y flujo transaccional a nível emisión/adquirencia con otras redesBeneficiosExcelente Ambiente de trabajoEstabilidad LaboralRemuneración justaCrecimiento profesional y personal**Fuente**:Whatjobs_Ppc**Área***:- Tecnologías de la Información / Tecnologías de la Información en General***Requisitos**:**Conocimientos***:- ASP.NET- Seguridad",QA
Sr. IT Support Engineer ‍ Join A QA Team In A,Prometeo Talent,"Guayaquil, Guayas",,"**About Us**:**_ Prometeo Talent_** is a #1 rated Recruitment Agency spread throughout America and Europe. We excel in connecting companies with exceptional tech and engineering professionals. Our HR and recruitment professionals are always ready to help companies and people find their right match.We have partnered with a US-based Product Company looking to expand their QA Team. They develop management products that help lots of companies worldwide improve their efficiency and streamline their work. They have a global team and are currently interested in hiring someone based in Colombia, Mexico, Brazil or Ecuador.**Our Proposal**:We are currently in search of a **_Senior IT Support Engineer_** with a strong attention to detail and a firm commitment to upholding the excellence of IT solutions. As a vital team member, you will interact with our software, collaborating extensively with our Out of Box Scripting division and more. Your primary responsibility, among other tasks, involves thorough testing and validation of script functionality and features.**Responsibilities**:- _Expertise in Information Technology_: Immerse yourself in our range of products and become an internal authority on IT software solutions. Help shape the future of MSPs and IT teams by understanding user needs, examining product usability, and providing valuable feedback.- _Testing and Issue Resolution_: Perform thorough software testing, identifying irregularities and conducting issue resolution to ensure flawless feature releases. Develop and maintain comprehensive software testing plans, and ensure our offerings are compliant on all platforms.- _Ongoing Enhancement_: Proactively propose improvements to existing testing methods, tools, and procedures to continuously refine our quality assurance practices.- _Collaboration_: Actively engage with product managers, developers, and other stakeholders throughout the software development life cycle to ensure that quality standards are upheld at every stage.**Must-have Requirements**:- 5+ years of recent experience in roles like Technical IT Support, Product Support, or Systems Engineering- 2+ years of experience with PowerShell and/or shell script.- In-depth familiarity with Windows and either MacOS or Linux OSs- High English level**Nice-to-have requirements**:- Experience with setting up and configuring VMs, with a focus on ESXi and Hyper-V- A Bachelor's Degree in technology- Experience with either Manual or Automation Testing",QA
Auxiliar De Producción Firmware Y QA Acuícola-Gye,Buscojobs Ecuador,"Guayaquil, Guayas",,"**Detalles de la oferta**:Trabajamos en la definición de estrategias, optimización organizativa, en la evaluación y desarrollo de sus colaboradores. Nuestros servicios: Descripción de Puesto/Escala Salarial/SSO/Evaluación de Desempeño/Selección y Desarrollo/NóminaGuayasGuayaquil600Tiempo CompletoQuerida red, su ayuda compartiendoEn Consultora de Talento Humano Gestalt S.A.S nos encontramos en la búsqueda de un Auxiliar de producción firmware y QA, para empresa de alimentadores automáticos #GuayaquilRequisitos:- Estudios en Ing. En sistemas o afines-Conocimiento en electrónica (Software para diseñar circuitos)- Conocimientos en micro-controladores/micro-soldaduras- Manejo de Software's en general- Su principal función será la revisión de circuitos de placas va existentes- Iniciar y controla procesos de producción de placas y mantenimiento de los mismos- Actualizaciones de las placas- Analizar la baterías existentes-Experiência mínima de 3 años en el sector acuícolaPostulados o referidos en**:**écnico Graduado2 años**Salario Nominal**:Desde $ 600 Hasta $ 600***Requisitos**:",QA
Auxiliar De Producción Firmware Y QA Acuícola-Gye,Gestalt Consultora,"Guayaquil, Guayas",,"**Detalles de la oferta**:Querida red, su ayuda compartiendoEn Consultora de Talento Humano Gestalt S.A.S nos encontramos en la búsqueda de un Auxiliar de producción firmware y QA, para empresa de alimentadores automáticos #GuayaquilRequisitos:- Estudios en Ing. En sistemas o afines-Conocimiento en electrónica (Software para diseñar circuitos)- Conocimientos en micro-controladores/micro-soldaduras- Manejo de Software's en general- Su principal función será la revisión de circuitos de placas va existentes- Iniciar y controla procesos de producción de placas y mantenimiento de los mismos- Actualizaciones de las placas- Analizar la baterías existentes-Experiência mínima de 3 años en el sector acuícolaPostulados o referidos en**:*****Requisitos**:",QA
QA Analyst Senior - Remote Work,BairesDev,"Anywhere, Guayas",Remoto,**Detalles de la oferta**:**Fuente**:Whatjobs_Ppc**Área***:- Tecnologías de la Información / Tecnologías de la Información en General***Requisitos**:**Conocimientos***:- SQL,QA
QA Automation Engineer/ Research + Development,BairesDev,"Guayaquil, Guayas",,**Detalles de la oferta**:**Fuente**:Whatjobs_Ppc**Área***:- Otros / Otros***Requisitos**:**Conocimientos***:- Linux- Unix,QA
Senior QA Automation Engineer Latam,BairesDev,"Guayaquil, Guayas",Remoto,"BairesDev is proud to be one of the fastest-growing companies in Latin America and a welcoming, highly rated employer (Glassdoor Employee Score: 4.3). With more than 3500 employees in 27 countries and world-class clients from start-ups to Fortune 500 companies, we’re only as strong as the multicultural teams at the heart of our business. BairesDev runs on talent. To consistently deliver the highest quality solutions to our clients, we only hire the Top 1% of IT Talent and nurture their professional growth on exciting projects for companies like Google, Pinterest, and Udemy.Main Activities:- Develop and execute test plans and test cases.- Estimate test efforts, analyze and communicate test results and participate in day to day QA activities.- Work with Development, QA and Product Management to design and implement test and validation strategies.- Execute and manage test cases and results; report on test and defect metrics.What are we looking for:- 5+ years of experience in automated testing.- Good skills with C, C ++, Java and Python.- Deep knowledge of Unix and Linux environments.- Advanced English level.BairesDev Offers:- 100% remote work.- Flexible hours - make your own schedule!- Diverse and multicultural work environment.- Paid parental leave, vacation & holidays.- Hardware setup for you to work from home.- Excellent compensation — well above the market average.- Extensive opportunities for growth and professional development thanks to our mentoring system.At BairesDev, remote work is at our core. Enjoy the opportunity to have a dynamic lifestyle, better health, and wellness. Find renewed passion in your job, improve your productivity, and benefit from attractive growth opportunities for your career.If you are interested in being part of a team composed of the best professionals and working 100% goal-oriented in an innovative environment, but with the structure and resources of a multinational market leader, do not hesitate to apply!",QA
