titulo,empresa,ubicacion,salario,modalidad,jornada,Area,habilidades_hard,habilidades_soft
desarrollador de software full stack con experiencia en cloud y devops,DEL MAR TECHNOLOGY GROUP,"Remoto, Teletrabajo",1800,"remoto,teletrabajo",tiempo completo temporal,Desarrollador de Software,"java, python, sql, quarkus, aws, git, scrum","trabajo en equipo, resolución de problemas"
"desarrollador java sr, remoto latam",Sofka Technologies,"Quito , Ecuador",,,tiempo completo indeterminado,Desarrollador de Software,"java, excel, microservicios, scrum","trabajo en equipo, liderazgo, aprendizaje continuo, atención al detalle, creatividad"
desarrollador java sr,Sofka Technologies,"Quito , Ecuador",,,tiempo completo indeterminado,Desarrollador de Software,"java, microservicios, restful apis","trabajo en equipo, aprendizaje continuo"
arquitecto de software,DEL MAR TECHNOLOGY GROUP,"teletrebajo, Teletrabajo",1800,"teletrebajo,teletrabajo",tiempo completo indeterminado,Desarrollador de Software,No especificado,"trabajo en equipo, adaptabilidad, atención al detalle, pensamiento crítico"
desarrollador pro-c,DEL MAR TECHNOLOGY GROUP,"Remoto, Teletrabajo",,"remoto,teletrabajo",tiempo completo temporal,Desarrollador de Software,pro-c,"trabajo en equipo, resolución de problemas"
ingeniero de software senior remoto uruguay,Sofka Technologies,"Quito , Ecuador",,,tiempo completo indeterminado,Desarrollador de Software,"java, react","trabajo en equipo, aprendizaje continuo, atención al detalle, gestión del tiempo, creatividad"
ingenieros de software | ecu,Sofka Technologies,"Quito , Ecuador",,,tiempo completo indeterminado,Desarrollador de Software,scrum,"aprendizaje continuo, atención al detalle, gestión del tiempo, creatividad"
desarrolladores java | ecu,Sofka Technologies,"Quito , Ecuador",,,tiempo completo indeterminado,Desarrollador de Software,"java, docker, microservicios, restful apis","trabajo en equipo, atención al detalle, gestión del tiempo, creatividad, pensamiento crítico"
senior next.js developer,DEL MAR TECHNOLOGY GROUP,"Remoto, Teletrabajo",1800,"remoto,teletrabajo",tiempo completo temporal,Desarrollador de Software,"javascript, react, next.js, excel, scrum","trabajo en equipo, comunicación, resolución de problemas, atención al detalle"
qa automation senior | híbrido en quito,Sofka Technologies,"Quito , Ecuador",,,tiempo completo indeterminado,Desarrollador de Software,"excel, pruebas manuales","trabajo en equipo, liderazgo, aprendizaje continuo, atención al detalle"
qa automation senior | híbrido en quito,Sofka Technologies,"Quito , Ecuador",,,tiempo completo indeterminado,Desarrollador de Software,"excel, pruebas manuales","trabajo en equipo, liderazgo, aprendizaje continuo, atención al detalle"
quarkus developer,DEL MAR TECHNOLOGY GROUP,"Guayaquil, Teletrabajo",1500,"guayaquil,teletrabajo",tiempo completo temporal,Desarrollador de Software,"java, quarkus, microservicios, scrum",No especificado
"arquitecto de soluciones presencial quito, ecuador",Sofka Technologies,"Quito , Ecuador",,,tiempo completo indeterminado,Desarrollador de Software,"git, excel","trabajo en equipo, comunicación, liderazgo, aprendizaje continuo, pensamiento crítico"
diseñador ux & iu - quito - presencial,Sofka Technologies,"Quito , Ecuador",,,tiempo completo indeterminado,Desarrollador de Software,git,"trabajo en equipo, liderazgo, creatividad"
desarrollador de software en velneo,EmpireSystem S.A.,"pichincha, Pichincha [inc.Quito]",500,,tiempo completo indeterminado,Desarrollador de Software,No especificado,"creatividad, trabajo en equipo, resolución de problemas"
