titulo,empresa,ubicacion,salario,modalidad,jornada,Area,habilidades_hard,habilidades_soft
ANALISTA DE DATOS - job post,CRESA,"Guayaquil, Provincia del Guayas",,,tiempo completo,Analista de Datos,"r, machine learning, erp, análisis de datos","trabajo en equipo, liderazgo, resolución de problemas, orientación a resultados, proactividad, pensamiento crítico"
Analista Corporativo de Datos - job post,BMI,"Quito, Provincia de Pichincha",,,,Analista de Datos,"python, sql, r, power bi, bi, análisis de datos, estadística, dashboards","comunicación, resolución de problemas, atención al detalle, gestión del tiempo, pensamiento crítico, inglés avanzado"
Analista Corporativo de Datos - job post,BMI Igualas Médicas,"Quito, Provincia de Pichincha",,,tiempo completo,Analista de Datos,"python, sql, r, power bi, bi, análisis de datos, estadística, dashboards","comunicación, resolución de problemas, atención al detalle, gestión del tiempo, pensamiento crítico, inglés avanzado"
Analista de Soporte en Sitio - Ecuador - job post,SoftwareOne,"Quito, Provincia de Pichincha",,Remoto,tiempo completo,Analista de Datos,"r, scala, azure, git, excel, scrum, linux, windows, macos","trabajo en equipo, comunicación, liderazgo, adaptabilidad, orientación a resultados, atención al detalle, gestión del tiempo, pensamiento crítico, servicio al cliente"
Part-time Data Science Code Reviewer LATAM - job post,TripleTen,Desde casa,,Presencial,tiempo completo,Analista de Datos,"python, r, git, machine learning, bi","trabajo en equipo, comunicación, adaptabilidad, orientación a resultados, aprendizaje continuo, inglés avanzado, mentoría"
ANALISTA DE TRABAJO SOCIAL - job post,MAPFRE,"Quito, Provincia de Pichincha",,,,Analista de Datos,"r, excel, restful apis, powerpoint, word, teams, erp","trabajo en equipo, comunicación, adaptabilidad, orientación a resultados, atención al detalle, gestión del tiempo, creatividad"
Analista mesa de ayuda - Ecuador - job post,SoftwareOne,"Quito, Provincia de Pichincha",,,tiempo completo,Analista de Datos,"r, scala, git, scrum","trabajo en equipo, comunicación, liderazgo, resolución de problemas, adaptabilidad, orientación a resultados, proactividad, gestión del tiempo, creatividad, servicio al cliente"
Tutor de Análisis de Datos LATAM - job post,TripleTen,Desde casa,,Remoto,tiempo completo,Analista de Datos,"python, sql, r, git, excel, bi","trabajo en equipo, comunicación, liderazgo, resolución de problemas, adaptabilidad, orientación a resultados, aprendizaje continuo, gestión del tiempo, inglés avanzado, mentoría"
Analista de Control y Reporting - job post,FERRERO,"Quito, Provincia de Pichincha",,Híbrido,tiempo completo,Analista de Datos,"c++, r, excel, restful apis, machine learning, sap","trabajo en equipo, comunicación, resolución de problemas, adaptabilidad, orientación a resultados, atención al detalle, gestión del tiempo, creatividad, pensamiento crítico, inglés avanzado, planificación"
Analista de Planificación Financiera - job post,Grupo VILASECA,"Guayaquil, Provincia del Guayas",,,,Analista de Datos,"r, excel, erp","trabajo en equipo, comunicación, resolución de problemas, adaptabilidad, gestión del tiempo, pensamiento crítico, planificación"
Analista de Tecnica Aduanera - job post,DHL Express,"Guayaquil, Provincia del Guayas",,,,Analista de Datos,"r, excel, restful apis, scrum, machine learning","trabajo en equipo, adaptabilidad, gestión del tiempo, inglés avanzado, servicio al cliente"
Quality Control Analyst - job post,Grünenthal,"Quito, Provincia de Pichincha",,,tiempo completo,Analista de Datos,"javascript, r, excel, machine learning, powerpoint, word, erp, casos de prueba","trabajo en equipo, liderazgo, resolución de problemas, orientación a resultados, atención al detalle, gestión del tiempo, creatividad, inglés avanzado"
Data Analytics Teaching Experts LATAM - job post,TripleTen,Desde casa,,Presencial,tiempo completo,Analista de Datos,"python, sql, r, git, excel, bi","trabajo en equipo, comunicación, resolución de problemas, adaptabilidad, aprendizaje continuo, atención al detalle, gestión del tiempo, inglés avanzado, mentoría"
