titulo,empresa,ubicacion,salario,tipo_contrato,modalidad,descripcion,Area
ANALISTA DE DATOS - job post,CRESA,"Guayaquil, Provincia del Guayas",,,,"Descripción del puesto: Analista de Datos En CRESA estamos en la búsqueda de un Analista de Datos para unirse a nuestro equipo en Guayaquil, Guayas, Ecuador. Como parte de nuestro departamento de Administración, Contabilidad y Finanzas, buscamos a un profesional semi senior apasionado por el análisis de datos y la generación de informes estratégicos. El Analista de Datos será responsable de recopilar, interpretar y analizar grandes volúmenes de datos para identificar tendencias, patrones y oportunidades de mejora. Además, colaborará estrechamente con diferentes áreas de la empresa para desarrollar informes que respalden la toma de decisiones efectivas y el logro de los objetivos comerciales. Buscamos a un candidato proactivo, con habilidades analíticas avanzadas y capacidad para trabajar en equipo. La persona seleccionada deberá tener experiencia previa en la manipulación de bases de datos, dominio de herramientas de análisis de datos y un enfoque orientado a resultados. Si te apasiona el mundo de los datos y buscas un desafío donde puedas demostrar tu talento, ¡CRESA es el lugar ideal para ti! CRESA es una empresa de retail enfocada en la comercialización de artículos para el hogar y movilidad con una cultura integrada. Fruto de la unión de dos gigantes ecuatorianos: CRECOSCORP e ICESA. Contamos con presencia en 16 provincias del país a través de nuestros más de 220 locales. Comprometiéndonos a escuchar sus necesidades, siendo los valores la base de nuestra cultura. En CRESA empoderamos a nuestros colaboradores para que se desafíen constantemente, ofreciendo oportunidades de desarrollo y crecimiento profesional . CRESA es el lugar ideal para demostrar tu talento. #CRESA #LÍDERESENRETAIL #SERVICIOEXCEPCIONAL #RETAIL #CRECOS #ORVE #JAPÓN #MOTOZONE #JAPÓNMOTOS #LOCOLUIS #PAGAMENOS",Analista de Datos
Analista Corporativo de Datos - job post,BMI,"Quito, Provincia de Pichincha",,,,"Nos encontramos en la búsqueda de un/a Analista Corporativo de Datos que cumpla con las siguientes responsabilidades: Propósito Transformar datos complejos en información clara, relevante y accionable para apoyar la toma de decisiones estratégicas en la compañía. Su rol combina análisis crítico y storytelling con datos, mediante la construcción de dashboards efectivos y visualizaciones que comuniquen hallazgos de forma clara a distintos niveles de la organización. Responsabilidades Analizar críticamente información de seguros de vida y salud, transformando datos en insights accionables que respalden decisiones estratégicas y tácticas. Diseñar y construir dashboards interactivos y reportes ejecutivos, priorizando la claridad, el storytelling y la comunicación efectiva hacia diferentes audiencias. Automatizar procesos analíticos mediante lenguajes de programación (Python, R, SQL) y herramientas de visualización. Garantizar la calidad, integridad y trazabilidad de los datos, estableciendo buenas prácticas de gobierno de la información. Desde la fundación de BMI Financial Group en 1973, el enfoque ha sido un proceso continuo de crecimiento y expansión. Llegamos a Ecuador en 1997 para estar siempre junto a ti. VISIÓN Somos BMI, referentes del mercado, creadores de valor MISIÓN Nuestra razón, su tranquilidad Nuestra pasión, el servicio PROPUESTA DE VALOR En BMI nos apasionan nuestros clientes. Entenderte es nuestra prioridad. Nos esforzamos por brindar soluciones oportunas y efectivas en todo momento Requisitos Formación Academica: Graduado de las carreras de Estadística, Ingeniería en Sistemas, Ciencias de la Computación, Economía, Matemáticas o carreras afines. Experiencia: De 3 a 5 años en departamentos como Business Intelligence, Análisis de Datos , Departamento Técnico (seguros). Industrias como: seguros, consultoría, banca Conocimientos Indispensables: SQL, Lenguajes de progrmación: R, Python, Herramientas de visualización de datos (Power BI, Tableau o similares). Nivel de Inglés: Intermedio (Indispensable y probado)",Analista de Datos
Analista Corporativo de Datos - job post,BMI Igualas Médicas,"Quito, Provincia de Pichincha",,,,"Descripción del puesto Nos encontramos en la búsqueda de un/a Analista Corporativo de Datos que cumpla con las siguientes responsabilidades: Propósito Transformar datos complejos en información clara, relevante y accionable para apoyar la toma de decisiones estratégicas en la compañía. Su rol combina análisis crítico y storytelling con datos, mediante la construcción de dashboards efectivos y visualizaciones que comuniquen hallazgos de forma clara a distintos niveles de la organización. Responsabilidades Analizar críticamente información de seguros de vida y salud, transformando datos en insights accionables que respalden decisiones estratégicas y tácticas. Diseñar y construir dashboards interactivos y reportes ejecutivos, priorizando la claridad, el storytelling y la comunicación efectiva hacia diferentes audiencias. Automatizar procesos analíticos mediante lenguajes de programación (Python, R, SQL) y herramientas de visualización. Garantizar la calidad, integridad y trazabilidad de los datos, estableciendo buenas prácticas de gobierno de la información. Requisitos Formación Academica: Graduado de las carreras de Estadística, Ingeniería en Sistemas, Ciencias de la Computación, Economía, Matemáticas o carreras afines. Experiencia: De 3 a 5 años en departamentos como Business Intelligence, Análisis de Datos , Departamento Técnico (seguros). Industrias como: seguros, consultoría, banca Conocimientos Indispensables: SQL, Lenguajes de progrmación: R, Python, Herramientas de visualización de datos (Power BI, Tableau o similares). Nivel de Inglés: Intermedio (Indispensable y probado)",Analista de Datos
Analista de Soporte en Sitio - Ecuador - job post,SoftwareOne,"Quito, Provincia de Pichincha",,Tiempo completo,Remoto,"Job Function: Software & Cloud Por qué SoftwareOne?: El éxito en SoftwareOne no se define por lo que haces para ti mismo, sino por lo que entregas a nuestros clientes, al negocio y a los empleados a tu alrededor. Los empleados de SoftwareOne están llenos de energía, son ágiles y están apasionados por brindar una experiencia excepcional de Felicidad del Cliente y resultados sobresalientes. Nuestros líderes empoderan y motivan a sus equipos, proporcionando un entorno de trabajo que genera niveles increíbles de Felicidad Laboral. Somos de bajo ego. Nuestros líderes operan con un alto nivel de trabajo en equipo, pero también pueden trabajar rápidamente y liderar el cambio en una economía global. Somos un proveedor global líder de soluciones tecnológicas integrales de software y nube, con sede en Suiza. Nuestros 8,700 empleados apoyan a aproximadamente 65,000 clientes en su proceso de transformación digital. El puesto: Nos complace anunciar esta increíble oportunidad para unirte a nuestro equipo como: Analista de Soporte en Sitio Tiempo completo | Presencial |Oficina: Quito, Ecuador ¿Qué hace única esta oportunidad? Como Analista de Soporte en Sitio, serás parte de un equipo dinámico y de ritmo rápido, enfocado en garantizar y/o recuperar la continuidad operativa y la disponibilidad de los recursos de Hardware y Software de ofimática al servicio de los usuarios, en el sitio en que se encuentran ubicados, es decir, aquellos requerimientos que no puedan resolver los agentes de la Mesa de Servicios se escalarán al servicio de Soporte en Sitio para que se dirija al lugar dónde se registró el incidente o problema reportado, haga un diagnóstico y recupere la disponibilidad de los recursos involucrados en el requerimiento. Este rol ofrece una oportunidad emocionante para trabajar en una empresa que valora el crecimiento profesional, el desarrollo personal y el trabajo en equipo. Estarás al frente de nuestro compromiso de ofrecer un servicio de atención al cliente de primera categoría, ayudando a nuestros equipos a trabajar de manera eficiente mientras adquieres valiosa experiencia en el área de soporte IT. Responsabilidades Clave Revisión de servicios básicos (correo electrónico, almacenamiento, impresión, Citrix, Telefonía, Internet, Intranet corporativa, WiFi, y operatividad de equipos de videoconferencia). Revisiones físicas de Centro de datos, cuartos de telecomunicaciones, cuartos de proveedores y cuartos de UPS Revisión de estado de las diferentes salas de reuniones: correcto funcionamiento de equipamiento de tecnología (TV, PC, sistema de Video conferencia, speaker, cámara, entre otros). Realización, verificación y actualización oportuna del inventario parcial y/o total de los elementos del puesto de trabajo y demás activos de tecnología de información (PCs, laptops, periféricos, equipos ubicados en centro de datos, cuartos de telecomunicaciones, cuartos de UPS y almacenes) con la base de datos de elementos de configuración o CMDB. Atención y solución de casos clasificados como solicitudes o fallas y tareas relacionadas a casos con dichas clasificaciones durante la jornada laboral, que hayan sido asignadas en la herramienta de gestión de casos al Soporte en Sitio. Seguimiento, resolución, escalamiento a siguiente nivel de soporte (si aplica), reclasificación, recategorización, certificación (si aplica), de Incidentes clasificados como Fallas, así como las tareas derivadas de Fallas. Apoyo en sitio para la atención y acompañamiento de proveedores y terceros para administración de garantías y contratos de mantenimiento preventivo y correctivo para estación de trabajo estándar, servidores, dispositivos de red e impresoras. Este servicio aplica para todas las plataformas tradicionales o productivas que utilizan los usuarios finales como son: estaciones de trabajo, desktops o laptops, pinpads, huelleros e impresoras. Proporcionar soporte técnico oportuno y de alta calidad a los usuarios internos, resolviendo problemas relacionados con hardware, software y sistemas. Diagnosticar y solucionar problemas relacionados con sistemas operativos, dispositivos de hardware, conectividad de red y aplicaciones de software. Asistir en tareas de mantenimiento de sistemas e instalaciones de software según sea necesario. Mantener documentación precisa sobre las actividades de soporte, incluyendo pasos de solución de problemas, soluciones aplicadas y guías para usuarios. Colaborar con el equipo de IT y otros departamentos para asegurar que las operaciones IT sean fluidas y detectar áreas de mejora. Asegurarse de que se sigan todos los procesos y mejores prácticas del helpdesk para mantener un entorno de soporte eficiente. Que esperamos de tí: Requisitos del Perfil Técnico, Tecnólogo o Profesional en Ingeniería de Sistemas, Ingeniería Informática, Ingeniería de Software o afines ya finalizado o con poco tiempo de finalizar. Experiencia previa en un rol de soporte técnico o helpdesk, brindando asistencia en el sitio de las oficinas del cliente y dando asistencia a usuarios VIP de alto nivel. Conocimiento sólido en diagnóstico de sistemas operativos (Windows, macOS, Linux) y solución de problemas de hardware. Habilidades Requeridas Dominio en la solución de problemas relacionados con hardware y software, incluyendo impresoras, conexiones VPN y problemas de red. Familiaridad con sistemas de gestión de tickets y herramientas de gestión de incidentes (por ejemplo, Service-Now, Remedy o similares). Excelentes habilidades de comunicación, con la capacidad de explicar problemas técnicos a usuarios no técnicos. Fuertes habilidades para la atención de usuarios VIP y críticos. Capacidad para trabajar bajo presión, priorizar tareas y asegurar la resolución oportuna de solicitudes de soporte. Habilidades Deseables Experiencia con marcos ITIL y mejores prácticas para la gestión de incidentes. Familiaridad con plataformas por ejemplo, Office 365, Windows, MacOS, entre otros, y herramientas de soporte remoto (por ejemplo, TeamViewer, Escritorio Remoto). Certificaciones como: Certificacion de Cisco Micrososoft servidores Certificación de Microsoft Office versiones 365 y 2021 Certifcaciones de Microsoft System Center Certificación de Microsoft Azure Certificaciones de McAfee, Trellix Certificaciones de Trellix Certificaciones de Sistemas Operativos Apple iOS, iPadOS y MacOS Microsoft Windows versiones 10 y 11 para equipos de escritorio Beneficios Una cultura única con valores corporativos vividos para un ambiente de trabajo agradecido y solidario. Oportunidad de desarrollar tu potencial de manera personalizada y de acuerdo con tus objetivos dentro del rol. Programa de incentivo económico por recomendación de empleados para las posiciones activas. Espacios de esparcimiento, celebraciones y recreación para tu salud física y mental. Aviso: Esta oferta de empleo es para oportunidades futuras y no está destinada a una contratación inmediata. Siempre estamos en búsqueda de personas comprometidas para unirse a nuestro equipo y te invitamos a enviar tu aplicación. Al postularte, aceptas que tu información se almacene en nuestra base de talento para posibles vacantes futuras que coincidan con tus habilidades y experiencia. Agradecemos tu interés y nos pondremos en contacto contigo si surge una posición adecuada. Aviso Legal: En SoftwareOne, nos comprometemos a proporcionar un entorno de respeto mutuo en el que la igualdad de oportunidades de empleo esté disponible para todos los solicitantes y compañeros de equipo sin distinción de raza, color, religión, edad, sexo, origen nacional, estado de discapacidad, genética, orientación sexual, identidad o expresión de género, o cualquier otra característica protegida por las leyes locales. Qué deberías saber acerca de nosotros: Aviso: Esta oferta de trabajo es para oportunidades futuras y no está destinada a la contratación inmediata. Siempre estamos buscando personas talentosas para unirse a nuestro equipo y le animamos a enviar su solicitud. Al postularse, usted consiente que su información sea almacenada en nuestra base de datos de talentos para posibles oportunidades futuras que coincidan con sus habilidades y experiencia. Agradecemos su interés y nos pondremos en contacto si surge una posición adecuada.",Analista de Datos
Part-time Data Science Code Reviewer LATAM - job post,TripleTen,Desde casa,,Contrato,Presencial,"TripleTen es el bootcamp #1 en EE. UU. y LATAM que empodera a las personas, sin importar su experiencia previa, para embarcarse en el emocionante y desafiante camino de dominar profesiones tecnológicas. Nuestros bootcamps se enfocan en capacitar a los estudiantes en ingeniería de software, ciencia de datos, analítica de inteligencia de negocios y QA engineering de una manera accesible y viable, llevándolos finalmente a prosperar en una nueva carrera. Nuestra misión es garantizar que cada estudiante tenga la oportunidad de dominar con éxito una nueva profesión, encontrar su propósito y convertirse en un miembro valioso de la industria tecnológica. A quién buscamos: Para el programa de Ciencia de Datos, estamos buscando un/a científico/a de datos con experiencia para revisar los proyectos individuales de nuestros estudiantes y ayudarlos a convertirse exitosamente en profesionales. Por favor, envía todos los currículums o CVs en inglés. Ten en cuenta que, después de postularte a esta posición, se te pedirá que completes una prueba después de tu llamada introductoria en línea. Requirements: Experiencia trabajando como analista usando Python. Experiencia en proyectos de machine learning por más de un año. Familiaridad con las bibliotecas Pandas, NumPy, Matplotlib y Sklearn. Disponibilidad para dedicar al menos 30 horas a la semana a revisar el código de los estudiantes. Inglés intermedio, español competente. What you will do: Revisa el código de los estudiantes y proporciona retroalimentación (puede revisarse en cualquier momento; la carga de trabajo depende de la actividad de los estudiantes). Otorga créditos de acuerdo con los resultados de las tareas. Brinda consejos para mejorar el código, señala cualquier inexactitud y destaca los errores. What we can offer you: Colaboración totalmente remota y flexible (aproximadamente 30 horas semanales, 5 días a la semana). Pago fijo de 1500 USD brutos por mes. Capacitación en revisión de código y técnicas de comunicación. Posibilidad de realizar revisión de código para los estudiantes mientras desempeñas tu trabajo principal. Compartir experiencia con desarrolladores en nuestra comunidad. Experiencia en colaboración intercultural en mentoría y realización de seminarios web. Oficina digital cómoda. Usamos herramientas digitales modernas — Miro, Notion, Zoom, etc. — para que el proceso de trabajo conjunto sea fluido. Equipo diverso y unido, distribuido por EE. UU. y LatAm.",Analista de Datos
ANALISTA DE TRABAJO SOCIAL - job post,MAPFRE,"Quito, Provincia de Pichincha",,Contrato,,"Nos encontramos en la búsqueda del siguiente Perfil. ANALISTA DE TRABAJO SOCIAL - QUITO Misión del Cargo: Diseñar, implementar y dar seguimiento a estrategias de bienestar social que promuevan el desarrollo integral de los colaboradores, fomentando un ambiente laboral saludable, inclusivo y resiliente. Este rol será clave en la gestión de conflictos, el acompañamiento psicosocial y la articulación con diferentes niveles jerárquicos dentro de la organización. Requisitos: Formación Académica: Título universitario en Trabajo Social (Indispensable) Experiencia: Mínimo 2 años en roles similares dentro de empresas medianas o grandes. Experiencia comprobada en resolución de conflictos laborales y manejo de casos sensibles. Habilidades Técnicas: Dominio avanzado de Microsoft Office (Excel, PowerPoint, Word). Manejo de plataformas colaborativas como Microsoft Teams, Zoom, Forms. Conocimiento de herramientas de edición como Canva. Ley de Seguridad Social, Código laboral, Ley Violeta, Ley del Derecho al Cuidado Humano, Ley de Igualdad Salarial, etc. Competencias: Alta capacidad de escucha activa y empatía. Comunicación asertiva y adaptabilidad a distintos niveles jerárquicos. Pensamiento estratégico y enfoque en soluciones. Discreción, ética profesional y resiliencia. Responsabilidades: Diagnóstico y acompañamiento de necesidades psicosociales de los colaboradores. Intervención en casos individuales y colectivos relacionados con bienestar emocional, conflictos laborales y situaciones de vulnerabilidad. Ejecución de visitas domiciliarias a candidatos y personal interno. Diseño y ejecución del plan de bienestar, eventos internos, comunicación interna y clima organizacional. Manejo de beneficios corporativos al personal. Coordinación y ejecución de actividades del área de Salud y Seguridad Ocupacional. Elaboración de informes sociales y reportes internos. Lo que Ofrecemos: Ambiente de trabajo inclusivo y colaborativo. Programas de formación continua. Beneficios corporativos orientados al bienestar integral. Tipo de Contrato Descripción Realizar las acciones precisas para contribuir en los proyectos y programas propios del Plan de Responsabilidad Social, conforme al Plan Estratégico de la Dirección y según sus directrices. Funciones Mantener un conocimiento actualizado, innovador, específico y/o especializado de los procedimientos, normativa, criterios técnicos, etc. en su ámbito de actuación, mediante la participación en sesiones de formación, y de seguimiento de los principales indicadores de gestión y calidad de la actividad. Apoyar en las acciones y objetivos de responsabilidad social fijados por MAPFRE, tanto a nivel nacional, como internacional, con el fin de contribuir al cumplimiento de los objetivos de la dirección. Gestionar, mantener y mejorar la herramienta informática de reporte de datos utilizada en todo el Grupo, con el fin de consolidar la información relativa a responsabilidad social para la elaboración de los informes de la Compañía. Elaborar cuestionarios e informes de responsabilidad social con el objetivo de facilitar información del Grupo. Prestar asesoramiento cuando le sea requerido, siguiendo las instrucciones del jefe, a las distintas divisiones, áreas, sociedades y grupos de trabajo de responsabilidad social del Grupo. Educación Experiencia Competencias Responsabilidad Social Corporativa Código de conducta empresarial Política de salud, seguridad y medio ambiente (HSE) Entorno jurídico y normativo de los seguros Proyectos de Sostenibilidad Protección medioambiental Reputación corporativa Objetivos de Desarrollo Sostenible (ODS) Recopilación de datos y reporting Control de pérdidas por deterioro medioambiental Tiempo Límite de Aplicación",Analista de Datos
Analista mesa de ayuda - Ecuador - job post,SoftwareOne,"Quito, Provincia de Pichincha",,Tiempo completo,,"Job Function: Software & Cloud Por qué SoftwareOne?: El éxito en SoftwareOne no se define por lo que haces, sino por lo que entregas a nuestros clientes, al negocio y a los colaboradores que te rodean. Los colaboradores de SoftwareOne están llenos de energía, son ágiles y están enfocados en proporcionar Satisfacción al Cliente y resultados de clase mundial. Nuestros líderes motivan e inspiran a sus equipos y brindan un entorno laboral que ofrece niveles increíbles de Satisfacción al Colaborador. Somos humildes. Nuestros líderes operan con un alto nivel de Disciplina, pero pueden trabajar a gran Velocidad y gestionar el cambio en una economía global. Somos un proveedor global líder de soluciones de software y tecnología en la nube de principio a fin, con sede en Suiza. Nuestros 8,700 colaboradores apoyan a aproximadamente 65,000 clientes en su transformación digital. El puesto: Estamos encantados de anunciar la oportunidad de unirte a nuestro equipo como: Analista mesa de ayuda SoftwareOne Alcance: Tiempo completo | Quito - Ecuador| En sitio : Cómo sería un día a día con este rol: Registro y clasificación de Incidentes y solicitudes Resolución de Problemas comunes. Escalación de Incidentes complejos. Brindar asistencia, soporte y asesoría a los usuarios. Realizar un diagnóstico acertado respecto a situaciones reportadas por los usuarios. Manejo de Solicitudes. Seguimiento y cierre de incidentes y solicitudes. Actualización de la Base de Conocimiento Que esperamos de tí: Perfil: Formación técnica o tecnológica en sistemas o carreras afines. Experiencia y conocimientos desempeñándose como analista de mesa de ayuda durante más de un año. Habilidades requeridas: Experiencia en soporte técnico o funciones similares Habilidades de comunicación y resolución de problemas Conocimiento de herramientas de gestión de tickets y procesos ITIL (deseable) Capacidad para trabajar de forma autónoma y en equipo Enfoque en la atención al cliente ¿Por qué deberías unirte a nuestro equipo? Una cultura creativa que vive nuestros valores, promoviendo un ambiente de trabajo de apoyo y reconocimiento. Programas de reconocimiento para empleados. Una variedad de oportunidades de formación y desarrollo. Equilibrio entre la vida laboral y personal. Programa de bonificación por referencias. Interacción multicultural. Contribución a la sociedad a través de iniciativas de los empleados. Eventos corporativos. Las tecnologías más innovadoras para nuestros clientes y colegas. ¡Y mucho más! Aviso: Esta oferta de trabajo es para oportunidades futuras y no está destinada a la contratación inmediata. Siempre estamos buscando personas talentosas para unirse a nuestro equipo y le animamos a enviar su solicitud. Al postularse, usted consiente que su información sea almacenada en nuestra base de datos de talentos para posibles oportunidades futuras que coincidan con sus habilidades y experiencia. Agradecemos su interés y nos pondremos en contacto si surge una posición adecuada.",Analista de Datos
Tutor de Análisis de Datos LATAM - job post,TripleTen,Desde casa,,Tiempo parcial,Remoto,"TripleTen es el bootcamp #1 en EE. UU. y LATAM que empodera a las personas, sin importar su experiencia previa, para embarcarse en el emocionante y desafiante camino de dominar profesiones tecnológicas. Nuestros bootcamps se enfocan en capacitar a los estudiantes en ingeniería de software, ciencia de datos, analítica de inteligencia de negocios y QA engineering de una manera accesible y viable, llevándolos finalmente a prosperar en una nueva carrera. Nuestra misión es garantizar que cada estudiante tenga la oportunidad de dominar con éxito una nueva profesión, encontrar su propósito y convertirse en un miembro valioso de la industria tecnológica. Ten en cuenta que, después de postularte para este puesto, deberás completar una tarea de prueba tras tu llamada introductoria en línea. Estamos buscando Tutores de Análisis de Datos con experiencia y ganas de acompañar a estudiantes en su proceso de aprendizaje. Este rol requiere conocimientos sólidos en análisis de datos, habilidades de comunicación claras y empatía para resolver dudas y mantener a los estudiantes motivados. ¿Te gustaría transformar vidas a través de la educación y la tecnología? Requirements: +3 años de experiencia trabajando como analista de datos. Conocimiento de Python a nivel profesional resolviendo problemas de negocio (idealmente con al menos 3 años de experiencia). +1 año de experiencia trabajando con SQL en problemas reales, visualizaciones, estadística y probabilidad, y Excel. Experiencia con bibliotecas de Data Wrangling como Pandas, NumPy, Matplotlib, etc. Disponibilidad de al menos 16-20 horas semanales para dedicar a tus estudiantes. Inglés intermedio, español avanzado. What you will do: Liderarás un grupo de estudiantes en nuestro programa de Análisis de Datos, compartiendo tu experiencia e inspirándolos con tus conocimientos de la industria. Los ayudarás respondiendo sus preguntas y dándoles consejos prácticos de las siguientes maneras: Preparar sesiones: Revisar y estudiar previamente el contenido y material de cada clase para asegurar la mejor experiencia de aprendizaje. Dirigir sesiones grupales: Conducir webinars de aproximadamente 2 horas, fomentando la participación y resolución de dudas en tiempo real. Brindar mentoría individual: Ofrecer sesiones 1:1 con los estudiantes, dedicando al menos 10 horas semanales para seguimiento personalizado y orientación práctica. Comunicación constante: Mantener contacto fluido con el equipo de TripleTen en canales internos, para alinear objetivos, compartir avances y resolver cualquier inconveniente. Impacto del rol: Serás más que un tutor: te convertirás en mentor y modelo a seguir, ayudando a los estudiantes a crecer profesionalmente y a enfrentar los desafíos del mundo DA con confianza. ¡Te convertirás en su mentor y modelo a seguir! What we can offer you: Capacidad para enseñar a los estudiantes mientras desempeñas tu trabajo principal. Trabajo remoto y flexible de medio tiempo: Dedica entre 16 y 20 horas semanales (¡o más!) desde cualquier lugar. Pago competitivo: Base salarial: $200 USD al mes, que cubre onboarding, reuniones, preparación de sesiones y respuestas en canales internos. Pago por hora: $15 USD por webinars y $12 USD por sesiones 1:1. Aproximadamente $700–$1,200 USD al mes (o más, dependiendo de las horas que dediques A TT), mientras generas un impacto real en los estudiantes. Experiencia intercultural: Forma parte de un equipo internacional y conecta con estudiantes de diversos contextos. Impacto significativo: Comparte tu conocimiento y ayuda a otros a iniciar su carrera en tecnología. Participación en nuevos proyectos: Contribuye a mejorar la experiencia educativa de los estudiantes. Crecimiento profesional: Recibe retroalimentación para seguir desarrollándote como educador. Una oficina digital cómoda. Utilizamos herramientas digitales modernas — Miro, Notion, Zoom, etc. — para que el trabajo conjunto sea fluido. ¡Estamos emocionados de conocerte y trabajar contigo! ?",Analista de Datos
Analista de Control y Reporting - job post,FERRERO,"Quito, Provincia de Pichincha",,,Híbrido,"Finance, Administration & Control Job ID: 71775 Quito, P, EC (Hybrid) Permanent Ecuador, Quito Plant Ferrero es una empresa familiar con una perspectiva verdaderamente mundial y progresista y marcas icónicas como Nutella®, Tic Tac®, Ferrero Rocher®, Raffaello®, Kinder Bueno® y Kinder Sorpresa®. El amor por nuestras marcas sigue creciendo al igual que lo hace nuestro alcance internacional. Representada en más de 50 países y con productos vendidos en más de 170, el Grupo Ferrero encanta a numerosas generaciones en todo el planeta. ¿Cuál es el secreto de nuestro éxito mundial? 40,000 empleados especializados que celebran tanto el cuidado como la calidad para forjar un negocio, carreras profesionales y marcas de las que nos sentimos orgullosos. Únete a nosotros, podrías ser uno de ellos. Ferrero se compromete a construir una cultura diversa e inclusiva en la que todos los empleados se sientan bienvenidos y valorados y tengan las mismas oportunidades. Estamos convencidos del talento de todos nuestros empleados. Al alimentar la curiosidad y las habilidades naturales de nuestros empleados, los empoderamos, generación tras generación, para lograr el éxito personal y profesional, permitiéndoles desarrollar su carrera en Ferrero. La diversidad de nuestros talentos es lo que hace que nuestro entorno de trabajo sea multicultural, innovador y altamente gratificante. Propósito del Cargo Elaborar y analizar los reportes económicos y financieros obtenidos de los sistemas SAP, HFM y Essbase de la compañía, con el propósito de asegurar la fiabilidad de la información, para su correcta consolidación y comparación con el presupuesto. Principales Funciones: Elaborar y organizar el Presupuesto de los Gastos de Estructura y Otros de la División Industrial a nivel Budget y Forecast a fin de obtener una proyección que permita visualizar lo que a futuro la empresa necesita incurrir. Monitorear el Headcount (Número de Personas) Actual vs lo presupuestado División Industrial a nivel Budget y Forecast para comparar lo proyectado por RRHH con la situación Actual y validar su coherencia con los gastos de Sueldos y Beneficios. Proyectar el Discretionary Cash Flow de la Compañía a nivel de Budget y Forecast. Controlar los Gastos de Estructura Actual y comparar vs Budget y SAF a través del análisis de datos y desviaciones Reportar el Profit & Loss by Destination Actual para proporcionar a casa Matriz como a la Gerencia local, la realidad de la compañía a fin contribuir en la toma de decisiones económicas. Calcular y publicar Transfer Price con el propósito de proyectar las ventas, calcular el Markup y posteriormente dar a conocer al cliente Intercompany el precio de cada producto producido. Analizar los costos Estándar y PRZ de las diferentes marcas USD/KG a fin de monitorear trend del Costo de Ventas USD/KG de los diferentes productos elaborados en planta a fin de conocer los fenómenos que impactan en el costo. Monitorear el CAPEX y verificar el cumplimiento de los objetivos establecidos desde matriz tanto de Liquidado y Carry Forward Ingresar las tarifas Primary Freight de Supply Chain en SAP para garantizar que cumplimiento de los requerimientos de los entes de control aduanero al momento de la emisión de la factura de exportación. A quién estamos buscando: Formación Académica: Estudios Superiores en Administración de Empresas, Ing. Comercial, Economía Contabilidad, Finanzas y Auditorias o carreras afines. Experiencia: 2 a 3 años en posiciones similares. Idioma: Inglés Intermedio Cómo triunfar en el puesto de trabajo y en Ferrero Consumidores, calidad y servicio son la clave de todo cuanto hacemos. Así pues, para cosechar el éxito en Ferrero, deberá orientarse al consumidor y al producto tanto como nosotros: dedicarse a lograr buenos resultados para los clientes en todo el mundo. Competencias: Pensamiento Analítico y Crítico Habilidades de Comunicación Habilidad Numérica Gestión del Cambio Orientación a Resultados Trabajo bajo presión Organización y Planificación Conocimientos Específicos: Manejo de Microsoft Office Intermedio Presupuesto NIIF SAP – Modulo CO PA Our Application Process We’re constantly looking for talented individuals who are ready to be part of our dynamic and growing organization. Ferrero is a company with a global presence and family values. Join us! 1. Apply Complete your online application, upload your CV and include brief cover letter to help us understand your experience and interests 2. Assess Our HR team will arrange a phone or video interview if we feel your qualifications are a good match for the job 3. Interview If the first interview goes well, you’ll be invited to speak with a Ferrero manager to assess your competencies, technical aptitude and fit within our dynamic organization",Analista de Datos
Analista de Planificación Financiera - job post,Grupo VILASECA,"Guayaquil, Provincia del Guayas",,,,"Responsable por controlar el uso eficiente de los recursos financieros, asegurando la optimización y sostenibilidad de las operaciones. Principales tareas y responsabilidades: Elaborar y analizar presupuestos financieros. Monitorear el desempeño financiero de la empresa. Identificar oportunidades de mejora en la gestión de recursos. Preparar informes financieros para la gerencia Colaborar en la planificación estratégica financiera. Somos Grupo VILASECA, un grupo empresarial multinacional dedicado al desarrollo y comercialización de productos y servicios en las industrias de Empaques, Alimentos, Inmobiliaria y Suministros. Haz click aquí para conocer más sobre nuestros Valores y empresas. Requisitos Graduado en Finanzas, Economía o afines Experiencia en análisis financiero y presupuestario. Conocimiento avanzado de Excel y software financiero. Habilidad para interpretar datos financieros complejos. Capacidad para trabajar bajo presión y cumplir plazos. Principales Habilidades: Análisis crítico. Comunicación efectiva. Gestión del tiempo. Resolución de problemas. Trabajo en equipo. Adaptabilidad. Beneficios Para que las personas puedan llenar el formulario, se parametrizó para que aparezca en el correo de atracción, como respuesta automática el siguiente mensaje: Al postular a esta vacante, usted otorga su consentimiento para el tratamiento de sus datos personales con el fin de llevar a cabo el proceso de reclutamiento. Sus datos serán utilizados para contactarlo, evaluar su candidatura, verificar la información proporcionada y realizar exámenes ocupacionales y de aptitud. Usted puede ejercer sus derechos de Acceso, Rectificación, Cancelación y Oposición y otros determinados en la Ley Orgánica de Protección de Datos Personales (LOPDP). Para consultar sobre los plazos de conservación de la información y otros aspectos relacionados con la protección de datos ponemos a disposición nuestra Política de Protección de Datos Personales en https://www.semvra.com/resoluciones-y-politicas . Necesitamos que llenen este formulario para la autorización de uso y manejo de datos personales: https://forms.gle/5n1LkUTkFdJoVo8V8",Analista de Datos
