index,titulo,empresa,ubicacion,salario,modalidad,jornada,categoria,seniority,vacantes,descripcion,url
1,Senior Software Engineer in Ecuador,HSB SOFTECUADOR C.A.,"Quito, Pichincha, Ecuador",De $1.200 A $1.700 Por Mes,Presencial,Full-time,Tecnologia / Sistemas,No especificado,1 vacante disponible,"Description
Do you like working in a highly challenging and international environment? Do you love challenges and being a part of future-oriented projects? Then you’ve come to the right place!
You’ll be leading long-term projects for world-class builders. So read on and discover what we have to offer.
hsbcad equals flexible offsite construction software solutions to global construction companies specialized in timber construction. To support our very rapid growth in this globally expanding market, we are looking for an Senior Software Engineer.
Skills & Experience
· You love tackling complex software challenges. You love analysis and development. 3+ years of development experience is very welcome.
· You are an experienced professional who can handle complex projects autonomously.
· It goes without saying that you have a good understanding of the Programming Languages C # / C++.
· We need team players. You will be pair-programming with your fellow experts in an international environment and sparring with them regularly to decide the best path forward in our projects.
· You are an open communicator. You will continuously optimize your skills with us; we are mainly looking for the right can-do attitude.
· You speak and write fluent English. Any other language is an asset.
Responsibilities
· You will take the lead in participating in the technical analysis of our customers’ requests to fine-tune the applications to be developed as per their business requirements.
· You and your team will use the programming language C # / C++.
· You will also ensure high-quality standards for the code written by your team.
· You’ll be responsible for maintaining your code base and thus increasing the quality of the applications.
· You will make sure that application documentation is drafted to simplify the change process of the developed applications for our customers.
Next Steps
· Our agile environment will allow you to take on a lot of autonomy and responsibility.
· You can count on an extensive onboarding and training period of 3 to 6 months to learn the insights of the hsbcad products.
· We can offer you an open-door but highly professional environment where we work together on world-class, international, and BIM-compliant projects in an informal and human-centered environment.
Do you want to learn more about the awe-inspiring projects we work on? Read all about it here.
And last but not least, we offer you a competitive salary, topped with extensive fringe benefits.
If you are enthusiastic to be part of our company, please send your CV and wage aspiration. Do you like working in a highly challenging and international environment? Do you love challenges and being a part of future-oriented projects? Then you’ve come to the right place! You’ll be leading long-term projects for world-class builders. So read on and discover what we have to offer. hsbcad equals flexible offsite construction software solutions to global construction companies specialized in timber construction. To support our very rapid growth in this globally expanding market, we are looking for an Senior Software Engineer. · You love tackling complex software challenges. You love analysis and development. 3+ years of development experience is very welcome. · We need team players. You will be pair-programming with your fellow experts in an international environment and sparring with them regularly to decide the best path forward in our projects. · You are an open communicator. You will continuously optimize your skills with us; we are mainly looking for the right can-do attitude. · You will take the lead in participating in the technical analysis of our customers’ requests to fine-tune the applications to be developed as per their business requirements. · You’ll be responsible for maintaining your code base and thus increasing the quality of the applications. · You will make sure that application documentation is drafted to simplify the change process of the developed applications for our customers. · You can count on an extensive onboarding and training period of 3 to 6 months to learn the insights of the hsbcad products. · We can offer you an open-door but highly professional environment where we work together on world-class, international, and BIM-compliant projects in an informal and human-centered environment. Nos encontramos en la búsqueda de un Ingeniero de Proyectos: Realizar seguimiento y reuniones de levantamiento para definir las necesidades/requerimientos tecnológicas que vienen de los diferentes frentes de la organización. Definición y seguimiento a planes de trabajo , incluyendo seguimiento a ... 💡 Líder de Tecnología | CTO - Estratega de Transformación DigitalBuscamos un Jefe/a de Tecnología (Senior) con una mentalidad innovadora para liderar la transformación digital completa de una importante empresa de Logística y Distribución en Ecuador.Tu Reto Estratégico:Serás responsable de ... En Ecuador, Veolia es responsable de varios negocios: agua y residuos. ""Buscamos reclutar, desarrollar y retener talentos para fortalecer nuestro liderazgo en desarrollo sostenible y la creación de valor para nuestros clientes, colaboradores y la sociedad"".VeoliaCon más de 163,000 ... ¿Eres apasionado por los entornos Apple y disfrutas optimizar experiencias tecnológicas para otros? Estamos en busca de una persona que combine experticia técnica con mentalidad de servicio, para fortalecer la administración de nuestro ecosistema Mac dentro de una organización en crecimiento.Tu ... El contenido de este aviso es propiedad del anunciante. Los requisitos de la posición son definidos y administrados por el anunciante sin que Multitrabajos sea responsable por ello. Bajo ningún motivo envíes dinero o realices pagos. Ningún reclutador te pedirá pagar por rendir un test, prueba, capacitación, recibir un antecedente u otro motivo.",https://www.multitrabajos.com/empleos/senior-software-engineer-in-ecuador-hsb-softecuador-c.a.-1118027151.html
2,Programador,"CORPORACIÓN JARRÍN HERRERA CIA. LTDA. Se encuentra en la búsqueda de un DESARROLLADOR STANDAR ERP para la ciudad de “CUENCA”En nuestra empresa, estamos en busca de un DESARROLLADOR STANDAR ERP comprometido y dinámico para unirse a nuestro equipo. El candidato ideal será responsable diseñar, ...","Guayaquil, Guayas, Ecuador",De $930 A $1.000 Por Mes,Presencial,Full-time,Programación,No especificado,1 vacante disponible,Te invitamos a compartir tu opinión sobre esta empresa,https://www.multitrabajos.com/empleos/programador-geminisoft-1118029178.html
3,Programador,"CORPORACIÓN JARRÍN HERRERA CIA. LTDA. Se encuentra en la búsqueda de un DESARROLLADOR STANDAR ERP para la ciudad de “CUENCA”En nuestra empresa, estamos en busca de un DESARROLLADOR STANDAR ERP comprometido y dinámico para unirse a nuestro equipo. El candidato ideal será responsable diseñar, ...","Guayaquil, Guayas, Ecuador",De $600 A $900 Por Mes,Presencial,Full-time,Programación,No especificado,1 vacante disponible,Te invitamos a compartir tu opinión sobre esta empresa,https://www.multitrabajos.com/empleos/programador-pcgerente-1118010244.html
4,ANALISTA PROGRAMADOR,,"Guayaquil, Guayas, Ecuador",,Presencial,"Full-time, Indeterminado",Programación,Semi Sr,1 vacante disponible,"Empresa de Seguros, requiere contratar un Analista Programador para la ciudad de Guayaquil.
Formación: Tercer nivel en Ingeniería de Sistemas o carreras afines.
Experiencia: 2 años en análisis de programación.
Conocimientos indispensables:
Visual Basic.Net
SQL server
CRM Ecua-American es una empresa ecuatoriana formada en Quito hace más de 40 años. Desde sus inicios ha reconocido al paciente como su baluarte más importante y por ello se caracteriza en brindar atención de primera, con equipos y tecnología de punta, profesionales especializados, con experiencia e ... Somos expertos en operaciones logísticas integrales de comercio exterior, consolidación de carga, transporte terrestre, depósito aduanero, almacenamiento y digitalización de archivos. Convirtiéndonos en una solución completa para cada ciclo de la cadena logística y comercio internacional. Estamos ... 🔍 Oferta Laboral – Analista Programador TIC 📍 Ubicación: Quevedo 🏢 Importante empresa busca incorporar un Analista Programador TIC, responsable del desarrollo de aplicaciones informáticas bajo metodologías ágiles, cumpliendo estándares de programación y requisitos del área ... El contenido de este aviso es propiedad del anunciante. Los requisitos de la posición son definidos y administrados por el anunciante sin que Multitrabajos sea responsable por ello. Bajo ningún motivo envíes dinero o realices pagos. Ningún reclutador te pedirá pagar por rendir un test, prueba, capacitación, recibir un antecedente u otro motivo.",https://www.multitrabajos.com/empleos/analista-programador-1118021274.html
5,Desarrollador-Programador,,"Cuenca, Azuay, Ecuador",,Híbrido,"Full-time, Indeterminado",Programación,Semi Sr,2 vacantes disponibles,Te invitamos a compartir tu opinión sobre esta empresa,https://www.multitrabajos.com/empleos/desarrollador-programador-consultmatica-1117998695.html
6,Programador JAVA,,"Guayaquil, Guayas, Ecuador",,Presencial,"Full-time, Indeterminado",Programación,Semi Sr,1 vacante disponible,Empresa importadora y comercializadora de productos y maquinaria ferretera El 72.7% de profesionales recomiendan trabajar en esta empresa,https://www.multitrabajos.com/empleos/programador-java-ferreteria-espinoza-1117984713.html
7,,,,Salarios,,,,,,"El contenido de este aviso es propiedad del anunciante. Los requisitos de la posición son definidos y administrados por el anunciante sin que Multitrabajos sea responsable por ello. Bajo ningún motivo envíes dinero o realices pagos. Ningún reclutador te pedirá pagar por rendir un test, prueba, capacitación, recibir un antecedente u otro motivo.",https://www.multitrabajos.com/empleos/analista-programador-1117979910.html
8,Analista programador de Sistemas,ROCALVI S.A.,"Guayaquil, Guayas, Ecuador",,Presencial,Full-time,Tecnologia / Sistemas,Senior / Semi-Senior,1 vacante disponible,El 66.7% de profesionales recomiendan trabajar en esta empresa,https://www.multitrabajos.com/empleos/analista-programador-de-sistemas-rocalvi-s.a.-1117968362.html
9,Analista Programador Tic,,"Quevedo, Los Ríos, Ecuador",,Presencial,"Full-time, Indeterminado",Sistemas,Semi Sr,1 vacante disponible,"🔍 Oferta Laboral – Analista Programador TIC 📍 Ubicación: Quevedo
🏢 Importante empresa busca incorporar un Analista Programador TIC, responsable del desarrollo de aplicaciones informáticas bajo metodologías ágiles, cumpliendo estándares de programación y requisitos del área de TI.
🎯 Requisitos:
Formación en Ingeniería en Sistemas.
Mínimo 2 años de experiencia en desarrollo con tecnologías .NET (C#, ASP.NET, SQL Server).
Conocimientos en HTML, CSS, JavaScript, Angular/React/Vue.js.
Manejo de Web Services, POO, SQL avanzado, arquitectura de software (MVC, microservicios).
Herramientas: Visual Studio, Git, Python, Java, MySQL, Microsoft SQL Server.
Ofimática avanzada.
💡 Habilidades:
Análisis, planificación y organización.
Trabajo en equipo y orientación a resultados.
Tolerancia a la presión.
🎁 Beneficios:
Salario competitivo.
Beneficios de ley.
Oportunidades de desarrollo profesional.
📩 Interesados enviar CV a: [correo o medio de contacto] 🏢 Importante empresa busca incorporar un Analista Programador TIC, responsable del desarrollo de aplicaciones informáticas bajo metodologías ágiles, cumpliendo estándares de programación y requisitos del área de TI. ¡Estamos en busca de un perfil técnico con ganas de ayudar y crecer! Nuestra empresa está buscando incorporar a un/a Help Desk para brindar soporte técnico a nuestros usuarios internos y asegurar el correcto funcionamiento de los equipos y herramientas tecnológicas.Requisitos:2 años de ... Gestionar, ejecutar e integrar soluciones digitales que optimicen los procesos internos de la empresa, asegurando que mejore la eficiencia operativa, la experiencia del usuario y la competitividad del negocio, actuando como articulador entre las diferentes áreas y las tecnologías promoviendo la ... CoopMego requiere incorporar a su equipo de trabajo una o un Asistente de Procesamiento de datos, quien será responsable de generar información para organismos de control, efectuar los cuadres y compensación de varios servicios para el departamento de contabilidad y generar reportes para diferentes ... Importante empresa industrial busca incorporar a su equipo un/a Coordinador de Sistemas altamente capacitado/a, con actitud analítica, propositiva y habilidades de trabajo en equipo, para liderar el área de tecnología y asegurar la eficiencia e integración de nuestros sistemas informáticos.Este ... El contenido de este aviso es propiedad del anunciante. Los requisitos de la posición son definidos y administrados por el anunciante sin que Multitrabajos sea responsable por ello. Bajo ningún motivo envíes dinero o realices pagos. Ningún reclutador te pedirá pagar por rendir un test, prueba, capacitación, recibir un antecedente u otro motivo.",https://www.multitrabajos.com/empleos/analista-programador-tic-1117383243.html
10,Programador Full Stack e IA a Medio Tiempo,,"Cuenca, Azuay, Ecuador",De $500 A $550 Por Mes,Presencial,"Full-time, Indeterminado",Programación,Semi Sr,1 vacante disponible,Te invitamos a compartir tu opinión sobre esta empresa,https://www.multitrabajos.com/empleos/programador-full-stack-e-ia-a-medio-tiempo-findapp-sas-1117972867.html
