titulo,empresa,ubicacion,salario,modalidad,jornada,Area,habilidades_hard,habilidades_soft
Senior Software Engineer in Ecuador,HSB SOFTECUADOR C.A.,"Quito, Pichincha, Ecuador",1481,Presencial,tiempo completo,Desarrollador de Software,"c++, r, git, restful apis, scrum, bim, apple, machine learning, desarrollo web, desarrollo móvil, desarrollo de software, desarrollo de aplicaciones","trabajo en equipo, liderazgo, adaptabilidad, aprendizaje continuo, gestión del tiempo, creatividad, inglés avanzado, responsabilidad, planificación"
Programador,"CORPORACIÓN JARRÍN HERRERA CIA. LTDA. Se encuentra en la búsqueda de un DESARROLLADOR STANDAR ERP para la ciudad de “CUENCA”En nuestra empresa, estamos en busca de un DESARROLLADOR STANDAR ERP comprometido y dinámico para unirse a nuestro equipo. El candidato ideal será responsable diseñar, ...","Guayaquil, Guayas, Ecuador",993,Presencial,tiempo completo,Desarrollador de Software,r,"trabajo en equipo, resolución de problemas, aprendizaje continuo"
Programador,"CORPORACIÓN JARRÍN HERRERA CIA. LTDA. Se encuentra en la búsqueda de un DESARROLLADOR STANDAR ERP para la ciudad de “CUENCA”En nuestra empresa, estamos en busca de un DESARROLLADOR STANDAR ERP comprometido y dinámico para unirse a nuestro equipo. El candidato ideal será responsable diseñar, ...","Guayaquil, Guayas, Ecuador",810,Presencial,tiempo completo,Desarrollador de Software,r,"trabajo en equipo, resolución de problemas, aprendizaje continuo"
ANALISTA PROGRAMADOR,,"Guayaquil, Guayas, Ecuador",,Presencial,tiempo completo indeterminado,Desarrollador de Software,"c#, c++, sql, visual basic, r, git, restful apis, scrum, sql server, crm, apple, desarrollo web, desarrollo móvil, programación, desarrollo de software, desarrollo de aplicaciones","trabajo en equipo, resolución de problemas, aprendizaje continuo, responsabilidad"
Desarrollador-Programador,,"Cuenca, Azuay, Ecuador",,Híbrido,tiempo completo indeterminado,Desarrollador de Software,r,"trabajo en equipo, resolución de problemas, aprendizaje continuo"
Programador JAVA,,"Guayaquil, Guayas, Ecuador",,Presencial,tiempo completo indeterminado,Desarrollador de Software,"r, desarrollo de software, desarrollo de aplicaciones","trabajo en equipo, resolución de problemas, aprendizaje continuo"
Analista programador de Sistemas,ROCALVI S.A.,"Guayaquil, Guayas, Ecuador",,Presencial,tiempo completo,Desarrollador de Software,"r, desarrollo de software, desarrollo de aplicaciones","trabajo en equipo, resolución de problemas, aprendizaje continuo"
Analista Programador Tic,,"Quevedo, Los Ríos, Ecuador",,Presencial,tiempo completo indeterminado,Desarrollador de Software,"java, javascript, python, c#, c++, html/css, sql, react, r, git, microservicios, restful apis, scrum, visual studio, sql server, apple, machine learning, poo, mvc, asp.net, angular, vue.js, desarrollo web, desarrollo móvil, programación, desarrollo de software, desarrollo de aplicaciones","trabajo en equipo, liderazgo, resolución de problemas, orientación a resultados, aprendizaje continuo, gestión del tiempo, responsabilidad, planificación, tolerancia a la presión"
Programador Full Stack e IA a Medio Tiempo,,"Cuenca, Azuay, Ecuador",500,Presencial,tiempo completo indeterminado,Desarrollador de Software,r,"trabajo en equipo, resolución de problemas, aprendizaje continuo"
ANALISTA DE DATOS / CUENCA / QUITO,Celyasa,"Cuenca, Azuay, Ecuador",,Presencial,tiempo completo indeterminado,Analista de Datos,"sql, r, power bi, erp, apple, análisis de datos, estadística, reporting, dashboards, kpis, métricas","trabajo en equipo, liderazgo, resolución de problemas, orientación a resultados, aprendizaje continuo, atención al detalle, gestión del tiempo, creatividad, pensamiento crítico, responsabilidad, planificación"
