index,titulo,empresa,ubicacion,salario,modalidad,jornada,tipo_contrato,fecha_publicacion,descripcion,url
1,ANALISTA DE DATOS - NEXUMCORP,Centric Ecuador,"Quito, Pichincha",,,Tiempo completo,Permanente,Hace 6 días,"Prestigiosa empresa del sector automotriz requiere vincular a su equipo de trabajo a un Analista de Datos, para la ciudad de Quito. La posición será responsable de realizar análisis de datos y modelos estadísticos para la asistencia en la toma de decisiones, implementación de metodologías y optimización de procesos que puedan presentarse en la empresa Los candidatos deberán acreditar formación académica en Ingeniería Matemática - Estadística. Certificando unos 3 a 4 años en cargos similares. Se evaluarán competencias enfocadas a Orientación en Servicio al Cliente, Trabajo Bajo Presión, Cumplimiento de Objetivos, Creatividad e Innovación. entre otros. Se oferta una remuneración competitiva en el mercado junto con beneficios corporativos y beneficios de ley. Requisitos Los candidatos deberán acreditar formación académica en Ingeniería Matemática - Estadística. Certificando unos 3 a 4 años en cargos similares. Beneficios Se oferta una remuneración competitiva en el mercado junto con beneficios corporativos y beneficios de ley. <p class=""source"" data-source=""Hiring Room"" data-site=""www.hiringroom.com.ats.organic""> <a href=""/job/ec1b0aa7b51e674fc044e4ee4833afa38d/eaa"" target=""_blank"" rel=""nofollow""> Centric Ecuador <svg class=""icon""><use xlink:href=""#icon-external-light""></use></svg> </a> </p>",https://www.opcionempleo.ec/jobad/ec1b0aa7b51e674fc044e4ee4833afa38d
2,Analista de Calidad de Datos,IQVIA,"Quito, Pichincha",,,Tiempo completo,Permanente,Hace 11 días,"En IQVIA, combinamos ciencia de datos, tecnología y experiencia humana para transformar la atención médica. Como Maestro de Productos Digitales, serás un actor clave en la evolución de nuestras soluciones tecnológicas, impulsando productos innovadores que generan impacto real en la industria de la salud. Responsabilidades: <ul> <li>Gestión integral del ciclo de vida del producto, desarrollo, implementación y mejora continua de soluciones digitales, alineadas con los objetivos estratégicos de IQVIA y las necesidades del sector salud.</li> <li>Definir y aplicar estándares de nomenclatura, codificación y categorización de productos.</li> <li>Realizar auditorías periódicas para identificar y corregir errores o inconsistencias en los datos.</li> <li>Participar en el proceso de introducción de nuevos productos, asegurando que toda la información necesaria esté disponible y correctamente registrada antes del lanzamiento.</li> <li>Captar datos de fuentes de datos primarias o secundarias y mantener las bases de datos y los sistemas de datos</li> <li>Trabajar con la dirección para priorizar las necesidades de información y de la empresa</li> <li>Localizar y definir nuevas oportunidades de mejora de procesos</li> </ul> Requisitos <ul> <li>Dominio de Excel avanzado y herramientas de análisis de datos.</li> <li>Conocimientos básicos de bases de datos (SQL es un plus).</li> <li>Familiaridad con flujos de datos, integraciones y automatización de procesos.</li> <li>Atención al detalle y enfoque en la calidad de los datos.</li> <li>Capacidad para identificar patrones, inconsistencias y oportunidades de mejora en grandes volúmenes de información.</li> <li>Atención al detalle y enfoque en la calidad de los datos.</li> <li>Capacidad para identificar patrones, inconsistencias y oportunidades de mejora en grandes volúmenes de información.</li> </ul> IQVIA is a leading global provider of clinical research services, commercial insights and healthcare intelligence to the life sciences and healthcare industries. We create intelligent connections to accelerate the development and commercialization of innovative medical treatments to help improve patient outcomes and population health worldwide. Learn more at <p class=""source"" data-source=""IQVIA"" data-site=""www.iqvia.com""> <a href=""/job/ecc4fdfdb5b09e3efee23fefba7d22f091/eaa"" target=""_blank"" rel=""nofollow""> IQVIA <svg class=""icon""><use xlink:href=""#icon-external-light""></use></svg> </a> </p>",https://www.opcionempleo.ec/jobad/ecc4fdfdb5b09e3efee23fefba7d22f091
3,ANALISTA DE DATOS,Colineal,"Cuenca, Azuay",,,Tiempo completo,Permanente,Hace 11 días,"Misión del cargo: Asistir a la Gerencia Administrativa Financiera en la creacion de reportes gerenciales, control de gastos, presupuestos y demas cuentas de la empresa, contribuyendo mediante el analisis y presentanción de datos financieros que optimicen y fortalezcan la gestión organizacional. Actividades del cargo: Elaborar y actualizar reportes financieros mediante el uso de herramientas relacionadas como Excel y Power BI Gestionar la relación con proveedores incluyendo la recepción, verificación y registro de facturas. Apoyar en la documentación de contratos externos, relacionandose con los proveedores. Mantener actualizados los registros administrativos y financieros. Gestionar el seguro de vehiculos de la empresa y sus colaboradores. Requisitos Titulo profesional en Administración de Empresas, Contabilidad y Auditoria, Economía o a fines. Conocimientos en: Gestion de presupuestos, planeación financiera, analisis de datos, administración de proveedores. Conocimiento en Exel Intermedio-Avanzado, Power BI Beneficios Sueldo competitivo Buen ambiente laboral Capacitación continua <p class=""source"" data-source=""Hiring Room"" data-site=""www.hiringroom.com.ats.organic""> <a href=""/job/ecaa972355052fb960879f79e0d342fade/eaa"" target=""_blank"" rel=""nofollow""> Colineal <svg class=""icon""><use xlink:href=""#icon-external-light""></use></svg> </a> </p>",https://www.opcionempleo.ec/jobad/ecaa972355052fb960879f79e0d342fade
4,ANALISTA DE BASE DE DATOS/ QUITO,Eficacia,"Quito, Pichincha",,,Tiempo completo,Permanente,Hace 17 días,"¿Te entusiasma el análisis de datos ? Estamos en busca de un Analista de Base de Datos con experiencia en análisis, elaboración de informes y visualización de datos. Requisitos Profesional con título en áreas como Ingeniería de Datos, Administracion de Empresas, Economia o afines. Mínimo 1 año de experiencia en cargos similares. Conocimiento avanzado en utilitarios (Excel - Power Point - Power BI). Experiencia trabajando con grandes volúmenes de datos, generación de reportes y visualización de información. Beneficios Beneficios de ley y empresariales. Crecimiento laboral. Excelente ambiente laboral. Capacitacion constante. <p class=""source"" data-source=""Hiring Room"" data-site=""www.hiringroom.com.ats.organic""> <a href=""/job/ec14299ca1c15982f1f904d2718a308ec3/eaa"" target=""_blank"" rel=""nofollow""> Eficacia <svg class=""icon""><use xlink:href=""#icon-external-light""></use></svg> </a> </p>",https://www.opcionempleo.ec/jobad/ec14299ca1c15982f1f904d2718a308ec3
5,Analista de datos,Incarpalm,"Machala, El Oro",,,Tiempo completo,Permanente,Hace 26 días,"Profesional en Estadística y Análisis de Datos, con experiencia en la aplicación de modelos estadísticos y proyecciones para la toma de decisiones oportunas. Experto en identificar tendencias, anticipar escenarios y diseñar indicadores de desempeño que optimizan procesos organizacionales. Requisitos Competencias Análisis estadístico y modelamiento predictivo. Proyecciones y pronósticos de datos. Toma de decisiones basada en datos. Diseño y seguimiento de KPIs. Visualización de información (Power BI, Tableau, Excel avanzado). Crear y diseñar de Dashboards personalizados a la necesidad del cliente. Manejo de software estadístico y de programación (R, Python, SPSS, Stata). Comunicación clara de resultados técnicos a equipos directivos. Identificar oportunidades de mercado y asesorar al cliente con base en la información. Fortalezas Personales Pensamiento analítico y crítico. Orientación a resultados y mejora continua. Capacidad de trabajo en equipo interdisciplinario. Habilidades de planificación estratégica y solución de problemas. Requisitos Al menos 3 años de experiencia desarrollando cuadros de mando e informes de Business Intelligence, analizando y visualizando datos. Residir en la ciudad hashtag#Machala (exigido) Idioma inglés (intermedio) Conocimiento del sector camaronero (deseable) <p class=""source"" data-source=""Hiring Room"" data-site=""www.hiringroom.com.ats.organic""> <a href=""/job/ecc52b558a748627723effed3e341766af/eaa"" target=""_blank"" rel=""nofollow""> CHENGYE CIA <svg class=""icon""><use xlink:href=""#icon-external-light""></use></svg> </a> </p>",https://www.opcionempleo.ec/jobad/ecc52b558a748627723effed3e341766af
6,ANALISTA DE DATOS,CRECOS,"Guayaquil, Guayas",,,Tiempo completo,Permanente,Hace 9 días,"Prestigiosa empresa industrial requiere contratar un ANALISTA DE DATOS para MINA en la ciudad de GUAYAQUIL, que cumpla con los siguientes requisitos: MISION: Generar, analizar y controlar la informacion relevante de los recursos planificados propios y de empresas externas. FUNCIONES: <ul> <li>Manejar y controlar la informacion tecnica contenida en reportes de operacion minera</li> <li>Generar y analizar la informacion como indices operacionales de equipos y mantencion, consumos de combustibles, rendimientos, vida util de aceros de desgaste.</li> <li>Realizar indices mineros, producciones de mineral y esteril (Re/M), consumos de explosivos (gr/ton)</li> <li>Realizar resumenes diarios, mensuales y anuales</li> <li>Apoyar en la administracion y gestion de los recursos utilizados en la operacion minera..</li> </ul> CONOCIMIENTO REQUERIDO: <ul> <li>Planillas de excel, base de datos, tablas dinamicas, etc</li> </ul> FORMACION: <ul> <li>Ing. de minas, Ing. Industrial o afines</li> <li>2 años en adelante en cargos iguales o similares</li> <li>licencia tipo B</li> </ul> <p class=""source"" data-source=""Multitrabajos"" data-site=""www.multitrabajos.com""> Multitrabajos </p>",https://www.opcionempleo.ec/jobad/ec0705f28a55c997a6fdce0ff1558b2a60
7,Analista Prevención de Fraudes (Análisis de Datos),Banco Bolivariano,"Guayaquil, Guayas",,,Tiempo completo,Permanente,Hace 1 mes,"👨‍💻👩‍💻 Misión: Extraer y analizar datos de los aplicativos del Banco para identificar comportamientos inusuales, posibles fraudes e impactos al negocio, administrando las herramientas de prevención y contención en función de los reclamos confirmados y los fraudes identificados en los aplicativos de Prevención. 📋 Funciones principales: Extraer datos de los aplicativos o cubos de información con los que cuenta el departamento y depurar las bases de datos utilizando las herramientas disponibles. Presentar propuestas de aplicabilidad sobre escenarios de fraudes, comportamientos o impactos al negocio. Generar información estadística para toma de decisiones, como puntos centrales, cuartiles, percentiles y otros. Requisitos 💻 Formación Académica Estadística, Análisis de Datos. Ciencia de Datos, Business Intelligence o afines. 🧠 Conocimientos Office 365 PowerBI Python SQL Server Tableau (deseable) Inglés intermedio Beneficios Sueldo competitivo 💲 Beneficios de ley 💰 Beneficios corporativos (seguro médico privado, utilidades, alimentación, etc) 💹 Oportunidades de crecimiento y desarrollo 🚀 Capacitación continua 📚 Día libre por tu cumpleaños. 😎 <p class=""source"" data-source=""Hiring Room"" data-site=""www.hiringroom.com.ats.organic""> <a href=""/job/ecffe754751ca4abb9cb1769cefcab4491/eaa"" target=""_blank"" rel=""nofollow""> Banco Bolivariano <svg class=""icon""><use xlink:href=""#icon-external-light""></use></svg> </a> </p>",https://www.opcionempleo.ec/jobad/ecffe754751ca4abb9cb1769cefcab4491
8,ANALISTA DE DATOS,Colineal,"Cuenca, Azuay",,,Tiempo completo,Permanente,Hace 11 días,"En COLINEAL CORP estamos en búsqueda de un analista de datos que cuente con experiencia en herramientas como un Excel avanzado asi como de Power BI Misión del cargo: Asistir a la Gerencia Administrativa Financiera en la creacion de reportes gerenciales, control de gastos, presupuestos y demas cuentas de la empresa, contribuyendo mediante el analisis y presentanción de datos financieros que optimicen y fortalezcan la gestión organizacional. Actividades del cargo: <ul> <li>Elaborar y actualizar reportes financieros mediante el uso de herramientas relacionadas como Excel y Power BI</li> <li>Gestionar la relación con proveedores incluyendo la recepción, verificación y registro de facturas.</li> <li>Apoyar en la documentación de contratos externos, relacionandose con los proveedores.</li> <li>Mantener actualizados los registros administrativos y financieros.</li> <li>Gestionar el seguro de vehiculos de la empresa y sus colaboradores.</li> </ul> Requisitos: <ul> <li>Titulo profesional en Administración de Empresas, Contabilidad y Auditoria, Economía o a fines.</li> <li>Conocimientos en: Gestion de presupuestos, planeación financiera, analisis de datos, administración de proveedores.</li> <li>Conocimiento en Exel Intermedio-Avanzado, Power BI</li> </ul> Beneficios <ul> <li>Sueldo competitivo</li> <li>Buen ambiente laboral</li> <li>Capacitación continua</li> </ul> <p class=""source"" data-source=""Multitrabajos"" data-site=""www.multitrabajos.com""> Multitrabajos </p>",https://www.opcionempleo.ec/jobad/ec4c677314cd27c9f5dacd4dfa4df1c601
9,ANALISTA DE DATOS & BI,Grupo Danec,"Sangolqui, Pichincha",,,Tiempo completo,Permanente,Hace 13 días,"ANALISTA DE DATOS &amp; BI Misión del cargo: Apoyar la profesionalización del área de Adquisiciones, transformando la información en conocimiento mediante el uso de herramientas de inteligencia de negocios (BI). Su propósito es generar reportes, dashboards e indicadores que respalden una toma de decisiones oportuna, confiable y alineada con los objetivos del negocio. Con su gestión, contribuirá a fortalecer la transparencia, eficiencia operativa y cultura data-driven dentro del área. Responsabilidades principales: <ul> <li>Diseñar, desarrollar y mantener dashboards e indicadores clave (KPIs) para medir el desempeño de procesos y categorías.</li> <li>Analizar tendencias y comportamientos de gasto, identificando oportunidades de mejora, ahorro y eficiencia operativa.</li> <li>Garantizar la integridad y trazabilidad de los datos provenientes de los distintos sistemas de información de la compañía.</li> <li>Colaborar con Finanzas y líderes de categoría en la consolidación de información presupuestaria, proyecciones y análisis comparativos.</li> <li>Automatizar reportes y apoyar el desarrollo de soluciones analíticas que optimicen la toma de decisiones.</li> <li>Participar en proyectos de transformación digital y mejora de procesos impulsados por el área de Compras.</li> </ul> Requisitos del cargo Formación académica: <ul> <li>Ingeniería Industrial, Administración, Economía, Estadística o carreras afines. (Maestría no indispensable)</li> </ul> Experiencia: <ul> <li>De 2 a 3 años en roles de análisis de datos, reporting o business intelligence. Deseable experiencia previa en áreas de Compras, Finanzas o Supply Chain.</li> </ul> Conocimientos técnicos: <ul> <li>Manejo de herramientas BI (Power BI, Tableau, Qlik o similares).</li> <li>Dominio avanzado de Excel y bases de datos (SQL, Access, etc.).</li> <li>Conocimientos en gestión de KPIs, análisis estadístico y visualización de datos.</li> </ul> <p class=""source"" data-source=""Multitrabajos"" data-site=""www.multitrabajos.com""> Multitrabajos </p>",https://www.opcionempleo.ec/jobad/ec4c27acf5851edb53b48b81b0c9008995
10,Analista Corporativo de Datos,BMI,"Quito, Pichincha",,,Tiempo completo,Permanente,Hace 2 meses,"Nos encontramos en la búsqueda de un/a Analista Corporativo de Datos que cumpla con las siguientes responsabilidades: Propósito Transformar datos complejos en información clara, relevante y accionable para apoyar la toma de decisiones estratégicas en la compañía. Su rol combina análisis crítico y storytelling con datos, mediante la construcción de dashboards efectivos y visualizaciones que comuniquen hallazgos de forma clara a distintos niveles de la organización. Responsabilidades Analizar críticamente información de seguros de vida y salud, transformando datos en insights accionables que respalden decisiones estratégicas y tácticas. Diseñar y construir dashboards interactivos y reportes ejecutivos, priorizando la claridad, el storytelling y la comunicación efectiva hacia diferentes audiencias. Automatizar procesos analíticos mediante lenguajes de programación (Python, R, SQL) y herramientas de visualización. Garantizar la calidad, integridad y trazabilidad de los datos, estableciendo buenas prácticas de gobierno de la información. Requisitos Formación Academica: Graduado de las carreras de Estadística, Ingeniería en Sistemas, Ciencias de la Computación, Economía, Matemáticas o carreras afines. Experiencia: De 3 a 5 años en departamentos como Business Intelligence, Análisis de Datos , Departamento Técnico (seguros). Industrias como: seguros, consultoría, banca Conocimientos Indispensables: SQL, Lenguajes de progrmación: R, Python, Herramientas de visualización de datos (Power BI, Tableau o similares). Nivel de Inglés: Intermedio (Indispensable y probado) <p class=""source"" data-source=""Hiring Room"" data-site=""www.hiringroom.com.ats.organic""> <a href=""/job/ec6cfde381577061c26c9d1b4c50b56107/eaa"" target=""_blank"" rel=""nofollow""> BMI <svg class=""icon""><use xlink:href=""#icon-external-light""></use></svg> </a> </p>",https://www.opcionempleo.ec/jobad/ec6cfde381577061c26c9d1b4c50b56107
