index,titulo,empresa,ubicacion,salario,modalidad,jornada,tipo_contrato,fecha_publicacion,descripcion,url
1,Desarrollador de Software,SGF Global,"Quito, Pichincha",,,Tiempo completo,Permanente,Hace 6 días,"Ti'tulo del Puesto: Desarrollador/a de Software - Frontend / Backend / Full Stack Ubicacio'n: Quito - Modalidad Hi'brida o Presencial Tipo de Contrato: Contrato con todos los beneficios de ley Sobre el Puesto Buscamos un Desarrollador/a de Software apasionado por la tecnologi'a, con experiencia en el diseño, desarrollo y mantenimiento de aplicaciones. Esta posicio'n esta' orientada a profesionales con so'lida capacidad te'cnica, pensamiento anali'tico y disposicio'n para trabajar en equipos a'giles. Podra' especializarse en Frontend, Backend o Full Stack, segu'n su perfil y experiencia. Responsabilidades Desarrollar y mantener aplicaciones y sistemas de acuerdo con los lineamientos te'cnicos y de negocio. Implementar interfaces de usuario, servicios backend, APIs y microservicios. Participar en procesos de mejora continua, integracio'n continua (CI/CD) y despliegue a'gil. Colaborar con equipos multidisciplinarios para garantizar soluciones eficientes, seguras y escalables. Requisitos Formacio'n acade'mica: Ingenieri'a en Sistemas, Software, Computacio'n o afines. Experiencia: Mi'nimo 2 años en desarrollo de software. Lenguajes: Java, .NET, Python, Kotlin, Swift, C#, JavaScript. Frameworks: React, Angular, Node.js, .NET, Spring Boot o Flutter. Bases de datos: Oracle, SQL Server, PostgreSQL. APIs y microservicios: REST, SOAP, Open Banking. Herramientas: Git, Jenkins, Azure DevOps. Conocimientos deseables: Pruebas unitarias, CI/CD y metodologi'as a'giles. Habilidades Blandas Pensamiento lo'gico y anali'tico. Trabajo colaborativo y comunicacio'n efectiva. Adaptabilidad a nuevas tecnologi'as y entornos cambiantes. Deseable - Sector Financiero (opcional) Conocimiento de procesos bancarios o financieros. Enfoque en seguridad, escalabilidad y disponibilidad de sistemas. Experiencia en entornos regulados o de alta criticidad. Horario Lunes a viernes, de 8:30 a 17:30 Salario y Beneficios Contrato formal con todos los beneficios de ley. Sueldo competitivo acorde al mercado. Capacitacio'n y oportunidades de crecimiento profesional. Ambiente colaborativo con equipos de alto desempeño. Quie'nes Somos SGF Global conecta talento especializado con las mejores oportunidades en sectores tecnolo'gicos y de innovacio'n. Ofrecemos formacio'n continua, desarrollo profesional y acceso a proyectos con empresas li'deres a nivel regional. <p class=""source"" data-source=""SGF Global"" data-site=""www.sgfglobal.com""> <a href=""/job/ec6e4f80bda8c97ff56decb77ef45db965/eaa"" target=""_blank"" rel=""nofollow""> SGF Global <svg class=""icon""><use xlink:href=""#icon-external-light""></use></svg> </a> </p>",https://www.opcionempleo.ec/jobad/ec6e4f80bda8c97ff56decb77ef45db965
2,Desarrollador de Software (Presencial),SGF Global,"Quito, Pichincha",,,Tiempo completo,Permanente,Hace 6 días,"Nos encontramos en la búsqueda de un Desarrollador de Software para unirse a nuestro equipo de Tecnología en jornada completa y en modalidad presencial. Como Desarrollador de Software, serás responsable de colaborar en el diseño, desarrollo e implementación de soluciones informáticas que contribuyan al crecimiento y optimización de nuestros sistemas. Buscamos un profesional proactivo, creativo y con habilidades técnicas avanzadas, capaz de trabajar en equipo y aportar soluciones innovadoras. Si te apasiona la programación, tienes experiencia en el desarrollo de aplicaciones y te motiva formar parte de un equipo altamente capacitado y comprometido con la calidad, ¡esta es tu oportunidad! Requisitos: Formación académica: <ul> <li>Título de tercer nivel en Ingeniería en Sistemas, Tecnologías de la Información o afines.</li> </ul> Experiencia: <ul> <li>Mínimo 3 años en roles similares.</li> <li>Experiencia como desarrollador full stack</li> </ul> Conocimientos técnicos: <ul> <li>Dominio de .NET, C# y .NET Framework, así como Desarrollo Web en ASP.NET y ASP.NET Core.</li> <li>Experiencia en la creación de APIs RESTful y servicios SOAP.</li> <li>Manejo de bases de datos relacionales (SQL SERVER) y no relacionales.</li> <li>Conocimientos en DevOps, incluyendo integración continua con herramientas como Azure DevOps y GitHub.</li> </ul> Beneficios Nuestros beneficios incluyen: <ul> <li>Contratación bajo relación de dependencia</li> <li>Beneficios de ley</li> <li>Beneficios corporativos (seguro médico, seguro de gastos mayores, bono anual, y plan gimnasio)</li> </ul> Si cumples con el perfil y buscas una empresa líder en el sector donde desarrollar tus habilidades y potenciar tu talento, ¡Aplica ahora! <p class=""source"" data-source=""Multitrabajos"" data-site=""www.multitrabajos.com""> Multitrabajos </p>",https://www.opcionempleo.ec/jobad/ec43a391defd330a0fceea1dc1624f6f1d
3,Desarrolladora de software con experiencia en aplicaciones cloud,Viamatica,"Guayaquil, Guayas",,,Tiempo completo,Permanente,Hace 18 días,"Diseñar, desarrollar y mantener los servicios backend del sistema a desarrollar, asegurando la integración eficiente con otros sistemas institucionales, la calidad del código, la seguridad de los datos y el cumplimiento de las políticas tecnológicas establecidas. Responsabilidades principales Desarrollar y mantener APIs RESTful para los módulos del sistema y sus integraciones, Implementar nuevas funcionalidades siguiendo las mejores prácticas de arquitectura y patrones de diseño. Integrar el backend con sistemas externos Optimizar consultas y procesos sobre la base de datos relacional PostgreSQL o MySQL. Participar activamente en revisiones de código, control de versiones y despliegues en entornos cloud. Garantizar la seguridad, trazabilidad y rendimiento del sistema. Colaborar con el equipo frontend para asegurar la correcta interoperabilidad de los servicios. Documentar los procesos, endpoints y flujos de integración. <p class=""source"" data-source=""Computrabajo"" data-site=""www.computrabajo.com.ec""> Computrabajo </p>",https://www.opcionempleo.ec/jobad/ec8c1782e46f39afc68276ffae3594a0a6
4,"Desarrollador JAVA SR, Remoto LATAM",Sofka Technologies,"Quito, Pichincha",,,Tiempo completo,Permanente,Justo ahora,"¿Estás buscando nuevos desafíos y un lugar donde puedas disfrutar de un ambiente cercano mientras aprendes constantemente? ¡Bienvenido a un equipo con un propósito claro: ""TRANSFORMAR la vida de las personas siendo el aliado TECNOLÓGICO más confiable""! 🚀 ¡Prepárate y únete a esta aventura! ¿Qué encontrarás? <ul> <li>Retos técnicos y personales que te mantendrán en constante crecimiento.🤝 Un equipo conectado, enfocado en tu bienestar físico y mental.</li> <li>Cultura de mejora continua, fresca y colaborativa, con oportunidades de aprendizaje y gente dispuesta a apoyarte.</li> <li>KaizenHub, un programa diseñado para potenciar tus talentos, con feedback, mentorías y coaching a través de Sofka U. ¡Será un reto y un juego a la vez! 🧠🎮</li> <li>Programas como Happy Kaizen y WeSofka que cuidan tu bienestar físico y emocional.</li> </ul> ¿Qué buscamos? Buscamos a un Ingeniero/a de Software Java Senior con 5+ años de experiencia comprobada en el ciclo de vida de desarrollo de software. El perfil ideal es un arquitecto del código, capaz de traducir la visión de negocio en soluciones robustas y escalables. Priorizamos profesionales con sólidos conocimientos en Java, SpringBoot, Microservicios y metodologías Ágiles, que se destaquen por su liderazgo técnico, su capacidad para impulsar la calidad del código y su habilidad para mentorizar a otros desarrolladores. Si te apasiona dejar tu huella en el ecosistema tecnológico, asegurando que cada línea de código contribuya a un producto final eficiente y seguro, esta es tu oportunidad. Al unirte a [Nombre de la Empresa], no solo trabajarás en proyectos de alto impacto, sino que también formarás parte de una cultura que valora la innovación, el código limpio y el desarrollo profesional continuo. Te ofrecemos un entorno donde tu experiencia será clave para guiar la excelencia técnica del equipo y el éxito de nuestras plataformas. Responsabilidades <ul> <li>Desarrollar y mantener activamente aplicaciones de alto rendimiento utilizando Java y sus frameworks asociados (como SpringBoot y Kuarkus).</li> <li>Apoyar en la definición e implementación de arquitecturas de software que sean escalables, seguras y eficientes.</li> <li>Mejorar continuamente el rendimiento, la escalabilidad y la mantenibilidad del código mediante refactorización estratégica y el uso eficiente de recursos.</li> <li>Asegurar la calidad del código y el cumplimiento de las mejores prácticas y estándares de desarrollo a través de revisiones de código exhaustivas.</li> <li>Integrar y desplegar el software de manera continua, trabajando con herramientas de CI/CD como Jenkins o GitLab CI.</li> <li>Crear y mantener pruebas automatizadas, utilizando frameworks específicos, para garantizar la calidad y funcionalidad.</li> <li>Promover y acompañar al equipo en la generación de código limpio, reduciendo reprocesos y la complejidad para garantizar soluciones escalables en el tiempo.</li> <li>Elaborar y actualizar documentación técnica detallada de las soluciones desarrolladas, siguiendo los lineamientos internos.</li> </ul> Conocimientos Técnicos <ul> <li>Lenguajes y Frameworks: Java, SpringBoot, Kuarkus, NetCore, Net, Angular, React, ReactNative, JavaScript, Typescript.</li> <li>Bases de Datos: Sql Server, Oracle, Postgres, MongoDB, Neo4J.</li> <li>Nube y DevOps: Azure, Azure Repo, Azure Devops, Kakfa, RabbitMQ.</li> <li>Otros Lenguajes: NodeJS, Python.</li> <li>Herramientas de Gestión: Jira, Teams, Confluence, DrawIO.</li> </ul> 💡 Personas apasionadas, dispuestas a dar lo mejor de sí mismas. ¡PRESENTATE y sé parte de esta historia! Condiciones <ul> <li>Contrato a término indefinido ¡Queremos relaciones a largo plazo y que seas parte de nuestra familia por mucho tiempo!</li> <li>¿Buscas crecimiento profesional? En Sofka, te ofrecemos un ecosistema de aprendizaje con múltiples herramientas para cerrar brechas y potenciar tus habilidades. ¡Tú decides cómo quieres crecer! 📚</li> </ul> <p class=""source"" data-source=""Teamtailor"" data-site=""www.teamtailor.com.ats.organic""> <a href=""/job/ec573622addb15b2631ff602c9d87532d9/eaa"" target=""_blank"" rel=""nofollow""> Sofka Technologies <svg class=""icon""><use xlink:href=""#icon-external-light""></use></svg> </a> </p>",https://www.opcionempleo.ec/jobad/ec573622addb15b2631ff602c9d87532d9
5,DESARROLLADOR ERP,Jaher,"Cuenca, Azuay",,,Tiempo completo,Permanente,Hace 3 días,"CORPORACIÓN JARRÍN HERRERA CIA. LTDA. Se encuentra en la búsqueda de un DESARROLLADOR STANDAR ERP para la ciudad de “CUENCA” En nuestra empresa, estamos en busca de un DESARROLLADOR STANDAR ERP comprometido y dinámico para unirse a nuestro equipo. El candidato ideal será responsable diseñar, programar y mantener las aplicaciones de software de nuestra empresa. MISIÓN: Desarrollar aplicaciones que cumplan todas las fases de la ingeniería del software y brinde una solución efectiva a nuestros usuarios. FUNCIONES: <ul> <li>Colaborar con el administrador de bases de datos en el diseño y modelado de la estructura de la base de datos, asegurando una integración eficiente con las aplicaciones.</li> <li>Crear y mantener procedimientos, funciones y bloques de código para implementar la lógica empresarial en el lenguaje de programación definido.</li> <li>Diseñar y optimizar consultas SQL para mejorar el rendimiento de las aplicaciones</li> <li>Crear los informes para proporcionar información visualmente significativa a los usuarios finales.</li> <li>Cumplir los lineamientos y procedimientos de la empresa e impulsar y retroalimentar las iniciativas de mejora.</li> <li>Cumplir las actividades asignadas por su Jefe Inmediato, así como asistir a las capacitaciones/eventos que sean convocados por la empresa.</li> </ul> CONOCIMIENTOS: <ul> <li>Conocimiento SQL/PLSQL, Oracle Apex, Jasper Reports.</li> <li>Desarrollo Backend/APIs Conocimiento de NestJS para construir APIs RESTful escalables. Experiencia en consumo e integración de APIs externas (RESTful Web Services, JSON/XML).</li> <li>Lenguajes de Programación JavaScript</li> <li>Ingles técnico medio</li> <li>Conocimiento en procesos retail y empresariales.</li> </ul> COMPETENCIAS: <ul> <li>Innovación</li> <li>Búsqueda de información</li> <li>Pensamiento analítico</li> </ul> Requisitos: REQUISITOS: - Educación: Ingeniero en sistemas/Afines - Experiencia: Mas de 3 años en cargos similares - Conocimiento intermedio de paquete office. Beneficios BENEFICIOS: -Salario competitivo -Oportunidades de crecimiento profesional -Excelente ambiente laboral -Beneficios de salud -Otros <p class=""source"" data-source=""Multitrabajos"" data-site=""www.multitrabajos.com""> Multitrabajos </p>",https://www.opcionempleo.ec/jobad/ec86b422d7b2daeab2085c24b089dc0343
6,Ingeniero de Software Senior Remoto URUGUAY,Sofka Technologies,"Quito, Pichincha",,,Tiempo completo,Permanente,Hace 1 mes,"✨ ¿Estás buscando nuevos desafíos y un lugar donde puedas disfrutar de un ambiente cercano mientras aprendes constantemente? ¡Bienvenido a un equipo con un propósito claro: ""TRANSFORMAR la vida de las personas siendo el aliado TECNOLÓGICO más confiable""! 🚀 ¡Prepárate y únete a esta aventura! ¿Qué encontrarás? <ul> <li>Retos técnicos y personales que te mantendrán en constante crecimiento.</li> <li>Un equipo conectado, enfocado en tu bienestar físico y mental.🌱</li> <li>Cultura de mejora continua, fresca y colaborativa, con oportunidades de aprendizaje y gente dispuesta a apoyarte.</li> <li>KaizenHub, un programa diseñado para potenciar tus talentos, con feedback, mentorías y coaching a través de Sofka U. ¡Será un reto y un juego a la vez! 🧠</li> <li>Programas como Happy Kaizen y WeSofka que cuidan tu bienestar físico y emocional.</li> </ul> ¿Qué buscamos? Buscamos a un(a) Desarrollador(a) Backend FullStack Senior apasionado(a) por la tecnología y la calidad, con más de 5 años de experiencia. Si eres un(a) experto(a) en Java con SpringBoot y Angular, y te motiva impulsar el desarrollo de sistemas robustos y escalables, este rol es para ti. Buscamos a alguien que no solo escriba código, sino que también diseñe, refactorice y optimice soluciones, aplicando las mejores prácticas del mercado y colaborando con herramientas de inteligencia artificial. Este rol es crucial para la creación y evolución de nuestros sistemas, con un enfoque en la eficiencia, la seguridad y la mantenibilidad. Te unirás a un equipo que valora la innovación, la calidad y la mejora continua, donde tu experiencia y conocimiento serán fundamentales para la entrega de valor y el crecimiento tecnológico de la organización. Responsabilidades <ul> <li>Diseñar, desarrollar e implementar soluciones end-to-end (backend y frontend).</li> <li>Participar en la evaluación y mejora continua de sistemas existentes, proponiendo refactorizaciones y automatizaciones.</li> <li>Asegurar que las soluciones cumplan con criterios funcionales y no funcionales (performance, seguridad, escalabilidad).</li> <li>Colaborar con equipos multifuncionales bajo metodologías ágiles (Scrum/Kanban).</li> <li>Aplicar principios de DevSecOps, integrando escaneo de calidad y seguridad en el ciclo de desarrollo.</li> <li>Garantizar que el desarrollo se alinee con las políticas organizacionales y estándares técnicos.</li> </ul> Requisitos <ul> <li>Formación: Título universitario en Ingeniería en Sistemas, Desarrollo de Software o carreras afines.</li> <li>Experiencia: Más de 5 años de experiencia en desarrollo de software, con dominio en tecnologías FullStack.</li> </ul> Conocimientos Técnicos <ul> <li>Backend:</li> </ul> <ul> <li>Java 17+ con Spring Boot 3.2+.</li> <li>Patrones de diseño, programación orientada a objetos (POO) y principios SOLID.</li> <li>Diseño e integración de APIs escalables y seguras (OpenAPI, Swagger).</li> <li>Modelado y arquitectura de microservicios.</li> <li>Bases de datos relacionales y no relacionales.</li> <li>Estrategias de calidad: Pruebas unitarias, de integración, de mutación (JUnit).</li> <li>Conocimiento de arquitecturas orientadas a eventos y patrones distribuidos.</li> <li>Frontend:</li> </ul> <ul> <li>Angular 17 y TypeScript 5.x.</li> <li>HTML5, CSS3 y preprocesadores como Sass.</li> <li>DevOps y Cloud:</li> </ul> <ul> <li>Git (GitFlow).</li> <li>Principios de DevSecOps con herramientas como SonarQube, Snyk o Trivy.</li> <li>Gestión de accesos con JWT y OAuth2.</li> <li>Experiencia en entornos cloud (Azure).</li> <li>Deseable:</li> </ul> <ul> <li>Experiencia con GitHub Copilot o afinidad con ""Vibe Coding"".</li> <li>Conocimientos en Domain-Driven Design (DDD).</li> <li>Experiencia con mensajería y streaming (Apache Kafka, Redis, RabbitMQ).</li> <li>Conocimiento en Infraestructura como Código (Terraform, Ansible).</li> <li>Pruebas funcionales con Karate o Serenity y de carga con K6.</li> </ul> 💡 Personas apasionadas, dispuestas a dar lo mejor de sí mismas. ¡PRESENTATE y sé parte de esta historia! Condiciones <ul> <li>Debes estar ubicado en Uruguay para trabajar de manera REMOTA.</li> <li>Contrato a término indefinido ¡Queremos relaciones a largo plazo y que seas parte de nuestra familia por mucho tiempo!</li> <li>¿Buscas crecimiento profesional? En Sofka, te ofrecemos un ecosistema de aprendizaje con múltiples herramientas para cerrar brechas y potenciar tus habilidades. ¡Tú decides cómo quieres crecer!</li> </ul> <p class=""source"" data-source=""Teamtailor"" data-site=""www.teamtailor.com.ats.organic""> <a href=""/job/ec708af9957e650dfada85e98d98d575d4/eaa"" target=""_blank"" rel=""nofollow""> Sofka Technologies <svg class=""icon""><use xlink:href=""#icon-external-light""></use></svg> </a> </p>",https://www.opcionempleo.ec/jobad/ec708af9957e650dfada85e98d98d575d4
7,Desarrollador JAVA SR,Sofka Technologies,"Quito, Pichincha",,,Tiempo completo,Permanente,Hace 11 días,"¿Estás buscando nuevos desafíos y un lugar donde puedas disfrutar de un ambiente cercano mientras aprendes constantemente? ¡Bienvenido a un equipo con un propósito claro: ""TRANSFORMAR la vida de las personas siendo el aliado TECNOLÓGICO más confiable""! 🚀 ¡Prepárate y únete a esta aventura! ¿Qué encontrarás? <ul> <li>Retos técnicos y personales que te mantendrán en constante crecimiento.🤝 Un equipo conectado, enfocado en tu bienestar físico y mental.</li> <li>Cultura de mejora continua, fresca y colaborativa, con oportunidades de aprendizaje y gente dispuesta a apoyarte.</li> <li>KaizenHub, un programa diseñado para potenciar tus talentos, con feedback, mentorías y coaching a través de Sofka U. ¡Será un reto y un juego a la vez! 🧠🎮</li> <li>Programas como Happy Kaizen y WeSofka que cuidan tu bienestar físico y emocional.</li> </ul> ¿Qué buscamos? Buscamos un Desarrollador de Software JAVA senior con un mínimo de 4 a 6 años de experiencia en el desarrollo y la ingeniería de soluciones complejas. El perfil ideal debe dominar principios de programación orientada a objetos, técnicas avanzadas de programación funcional, y tener una sólida base en arquitectura de microservicios. Necesitamos un profesional con profunda experiencia en el ciclo de vida completo del desarrollo, desde el diseño hasta el despliegue y la monitorización. 🛠️ Conocimientos Técnicos Requeridos <ul> <li>Lenguaje y Fundamentos: Dominio avanzado de Java (SE/EE), Programación Orientada a Objetos (POO) y Programación Funcional. Sólida aplicación de principios SOLID, KISS, DRY y patrones de diseño (GoF, Microservicios).</li> <li>Frameworks Core: Experiencia experta en el ecosistema Spring Boot (incluyendo Spring Data JPA/Hibernate, Spring Security) para la construcción de microservicios RESTful.</li> <li>Servicios y APIs: Habilidad para diseñar, implementar y documentar APIs RESTful escalables. Experiencia con estándares como OpenAPI/Swagger.</li> <li>Arquitectura: Experiencia práctica en el diseño e implementación de Arquitecturas de Microservicios y sistemas distribuidos. Conocimiento de patrones de resiliencia y mensajería (Kafka o RabbitMQ).</li> <li>Bases de Datos: Experiencia en SQL avanzado (optimización, tuning, modelado) y conocimiento funcional de bases de datos NoSQL (MongoDB, Redis, etc.).</li> <li>DevOps y Contenerización: Dominio de Docker y experiencia con orquestación (Kubernetes). Experiencia en la configuración y mantenimiento de pipelines de CI/CD (Jenkins, Azure DevOps, GitLab CI).</li> <li>Pruebas y Calidad: Experiencia avanzada en frameworks de pruebas (JUnit 5, Mockito) e implementación de estrategias de Calidad Temprana (TDD, Pruebas de Integración).</li> <li>Cloud: Conocimiento práctico de servicios y despliegues en al menos una plataforma cloud principal (AWS, Azure o GCP).</li> <li>Herramientas: Dominio de Git (flujos avanzados) y experiencia con herramientas de monitorización y observabilidad (Prometheus, Grafana, ELK Stack).</li> </ul> 💡 Personas apasionadas, dispuestas a dar lo mejor de sí mismas. ¡PRESENTATE y sé parte de esta historia! Condiciones <ul> <li>Contrato a término indefinido ¡Queremos relaciones a largo plazo y que seas parte de nuestra familia por mucho tiempo!</li> <li>¿Buscas crecimiento profesional? En Sofka, te ofrecemos un ecosistema de aprendizaje con múltiples herramientas para cerrar brechas y potenciar tus habilidades. ¡Tú decides cómo quieres crecer! 📚</li> <li>Trabajo Hibrido</li> </ul> <p class=""source"" data-source=""Teamtailor"" data-site=""www.teamtailor.com.ats.organic""> <a href=""/job/ecf36fff32a0cb579ccddf51b667450b9e/eaa"" target=""_blank"" rel=""nofollow""> Sofka Technologies <svg class=""icon""><use xlink:href=""#icon-external-light""></use></svg> </a> </p>",https://www.opcionempleo.ec/jobad/ecf36fff32a0cb579ccddf51b667450b9e
8,Desarrollador De Software,SGF Global,"Quito, Pichincha",,,Tiempo completo,Permanente,Hace 7 días,"Objetivo del cargoDesarrollar y mantener soluciones tecnológicas que potencien los productos y servicios de Plugthem, asegurando un backend robusto, eficiente y escalable. Contribuir a la construcción de experiencias digitales que integren inteligencia artificial y personalización, apoyando los proyectos de innovación y optimización de procesos de la compañía.Responsabilidades principalesDiseñar, desarrollar y mantener servicios y APIs REST con PHP (Laravel) . Colaborar con equipos front-end (Angular, Vue) para garantizar la integración eficiente entre capas.Administrar bases de datos relacionales (MySQL) , asegurando integridad y rendimiento.Implementar pruebas unitarias , control de versiones con Git y prácticas de desarrollo ágil.Participar en la definición de arquitecturas backend seguras, escalables y documentadas.Apoyar la integración de funcionalidades basadas en inteligencia artificial y automatización . Contribuir a la mejora continua de los procesos de desarrollo y despliegue.Analizar incidencias y proponer soluciones eficientes con pensamiento analítico y crítico.RequisitosFormación:Profesional o tecnólogo en Ingeniería de Software, Sistemas, Computación o afines.Experiencia:De 1 a 2 años como Desarrollador Backend o en funciones similares.Experiencia práctica con PHP (Laravel) y frameworks de frontend ( Angular o Vue ). Experiencia trabajando en equipos ágiles . Idiomas:Español nativo. Inglés técnico intermedio deseable.Conocimientos técnicosFundamentos claros de arquitectura backend y lógica de programación . Diseño y consumo de APIs REST.Bases de datos relacionales (MySQL). Git (flujo profesional) y pruebas unitarias.Curiosidad por aprender nuevas tecnologías y fundamentos básicos de prompts/IA . Habilidades blandasComunicación clara y colaboración efectiva.Iniciativa, curiosidad y orientación a resultados.Pensamiento analítico y capacidad para resolver incidentes.Organización y manejo eficiente del tiempo.Investigar e implementar nuevas tecnologíasCompetencias claveTrabajo en equipo y colaboración multidisciplinaria.Aprendizaje continuo y mejora constante.Compromiso con la calidad y la innovación.Mentalidad ágil y adaptable.Envía tu CV <p class=""source"" data-source=""Buscojobs"" data-site=""www.buscojobs.com.ec""> Buscojobs </p>",https://www.opcionempleo.ec/jobad/ec309b1e4291b179745f1ca1c4b28dd27b
9,Desarrollador De Software Junior,Hitss Ecuador,"Guayaquil, Guayas",,,Tiempo completo,Permanente,Hace 7 días,"PERFIL:Profesional graduado en Ingeniería en Telecomunicaciones, Sistemas Computacionales o carreras afines.Experiencia de mínimo 1 año en optimización y mantenimiento continuo de la red.EXPERIENCIA Y CONOCIMIENTOS EN:Conocimiento en análisis de KPIs y gestión de salud de redDesarrollo e implementación de microserviciosAngularReporteríaGrafanaDocker.Desarrollo de páginas web.Manejo de bases de datos relacionales y no relacionales.Optimización y automatización de procesos y uso de herramientas CI/CD.Experiencia en gestión de proyectos. <p class=""source"" data-source=""Buscojobs"" data-site=""www.buscojobs.com.ec""> Buscojobs </p>",https://www.opcionempleo.ec/jobad/ecbb6fb8340f9d14d3b53f039269a9c9b7
10,Desarrollador/a Sr,Naturisa,"Guayaquil, Guayas",,,Tiempo completo,Permanente,Hace 12 días,"Frontend: Dominio de React JS y Typescript. Experiencia con HTML y CSS. Familiaridad con herramientas como VS Code. Buen conocimiento en UX/UI y diseño de interfaces. Backend: Experiencia en .NET C# y .NET Core. Conocimientos en MVC, Hexagonal, y Domain-Driven Design. Familiaridad con Entity Framework y patrones como MVVC, FLUX y BFF. Arquitectura y Servicios: Conocimiento en SOA (Aplicaciones orientadas a servicios). Experiencia en Servicios Web (REST, SOAP). Dominio en bases de datos SQL Server y TransactSQL (Vistas, Procedimientos, Índices, Jobs). Horario: Lunes a viernes Lugar: Guayaquil Requisitos Estudios superiores en Sistemas, de Software, o carreras afines. Experiencia a partir de 5 años en el cargo. Beneficios Todos los beneficios de ley. <p class=""source"" data-source=""Hiring Room"" data-site=""www.hiringroom.com.ats.organic""> <a href=""/job/ecc735469843fe1a2b3071df83eaa19541/eaa"" target=""_blank"" rel=""nofollow""> Naturisa <svg class=""icon""><use xlink:href=""#icon-external-light""></use></svg> </a> </p>",https://www.opcionempleo.ec/jobad/ecc735469843fe1a2b3071df83eaa19541
