titulo,empresa,ubicacion,salario,modalidad,jornada,tipo_contrato,descripcion,Area
Analista de Procesos QA,Omarsa,Guayas,,,Tiempo completo,Permanente,"Conocimientos: Conocimientos de manejo de ERP ( Microsoft Dynamics 365 deseable) Conocimiento de DEVOPS (deseable ) Conocimientos de lenguaje de programación C# ( Deseable) Metodología Scrum Conocimiento de herramienta JIRA Tareas y responsabilidades principales: Planificación y diseño de pruebas Ejecución de pruebas Documentación de errores Seguimiento y análisis Trabajar de forma colaborativa con desarrolladores del equipo para comunicar los problemas y verificar las soluciones. Requisitos Experiencia: Mínimo de 2 años Formación académica: Los títulos en Ingeniería Informática, Ingeniería de Telecomunicaciones o Ciencia e Ingeniería de Datos. <p class=""source"" data-source=""Hiring Room"" data-site=""www.hiringroom.com.ats.organic""> <a href=""/job/eccac4f0f9ba62b08ade1a7401f343a275/eaa"" target=""_blank"" rel=""nofollow""> Omarsa <svg class=""icon""><use xlink:href=""#icon-external-light""></use></svg> </a> </p>",QA
QA Automation Senior | Híbrido en Quito,Sofka Technologies,"Quito, Pichincha",,,Tiempo completo,,"¿Estás buscando nuevos desafíos y un lugar donde puedas disfrutar de un ambiente cercano mientras aprendes constantemente? ¡Bienvenido a un equipo con un propósito claro: ""TRANSFORMAR la vida de las personas siendo el aliado TECNOLÓGICO más confiable""! 🚀 ¡Prepárate y únete a esta aventura! ¿Qué encontrarás? <ul> <li>Retos técnicos y personales que te mantendrán en constante crecimiento.🤝 Un equipo conectado, enfocado en tu bienestar físico y mental.</li> <li>Cultura de mejora continua, fresca y colaborativa, con oportunidades de aprendizaje y gente dispuesta a apoyarte.</li> <li>KaizenHub, un programa diseñado para potenciar tus talentos, con feedback, mentorías y coaching a través de Sofka U. ¡Será un reto y un juego a la vez! 🧠🎮</li> <li>Programas como Happy Kaizen y WeSofka que cuidan tu bienestar físico y emocional.</li> </ul> ¿Qué buscamos? Buscamos un QA Automation Senior con al menos 5 años de experiencia, apasionado por la excelencia y listo para tomar las riendas de nuestra estrategia de calidad. Tu misión será dirigir y ejecutar pruebas manuales y automáticas, implementando las mejores prácticas internacionales en pruebas funcionales, no funcionales y de performance para garantizar la robustez de nuestros desarrollos de software.🚀 Este rol es una oportunidad única para liderar las métricas de calidad que guíen nuestro éxito y mejorar continuamente nuestros procesos de automatización. Si buscas un desafío donde tu visión y experiencia técnica generen un impacto directo en el producto, este es tu lugar. ¿Qué harás? <ul> <li>Dirigir y ejecutar pruebas manuales y automáticas para desarrollos de software complejos.</li> <li>Diseñar e implementar métricas de calidad de software, como cobertura de pruebas y cantidad de errores.</li> <li>Gestionar, dirigir y liderar equipos de trabajo, fomentando su desarrollo y la excelencia técnica.</li> <li>Mejorar continuamente los procesos y flujos de automatización de pruebas para aplicaciones web, móviles y backend.</li> <li>Diseñar estrategias y planes de prueba basados en análisis de riesgos y criterios de aceptación en formato BDD.</li> <li>Implementar y gestionar la estrategia de pruebas de performance, analizando los resultados para proponer mejoras.</li> <li>Gestionar el ciclo de vida de los defectos y asegurar la documentación adecuada para la finalización de pruebas.</li> <li>Contribuir activamente en la implementación de prácticas de integración y despliegue continuo (CI/CD).</li> </ul> Requisitos técnicos: <ul> <li>Metodologías y Procesos: Procesos de pruebas (ISTQB FL/AT), BDD (Gherkin, Cucumber), análisis de riesgos de calidad, prácticas ágiles.</li> <li>Automatización y Performance: Serenity BDD, ScreenPlay, Karate, K6, JMeter, Appium, Robot Framework, Rational Performance Tester.</li> <li>Herramientas de Gestión: Jira (X-ray), Confluence.</li> <li>CI/CD y Versionamiento: Azure DevOps, GIT, manejo de pipelines.</li> <li>Bases de Datos: SQL, Oracle, DB2, PostgreSQL.</li> <li>Analítica de Datos: Implementación y valoración de modelos de analítica de datos aplicados a la calidad.</li> </ul> Requisitos <ul> <li>Experiencia: Mínimo 5 años de experiencia en roles de QA, dirigiendo y ejecutando pruebas manuales y automatizadas (funcionales y no funcionales), diseñando estrategias de prueba y liderando equipos de trabajo en entornos ágiles.</li> </ul> ✨ Es plus si cuentas con: <ul> <li>Certificación ISTQB.</li> </ul> ¡PRESENTATE y sé parte de esta historia! Condiciones <ul> <li>Contrato a término indefinido ¡Queremos relaciones a largo plazo y que seas parte de nuestra familia por mucho tiempo!</li> <li>¿Buscas crecimiento profesional? En Sofka, te ofrecemos un ecosistema de aprendizaje con múltiples herramientas para cerrar brechas y potenciar tus habilidades. ¡Tú decides cómo quieres crecer! 📚</li> <li>Modalidad: una semana presencial en Quito.</li> </ul> <p class=""source"" data-source=""Teamtailor"" data-site=""www.teamtailor.com.ats.organic""> <a href=""/job/ece63b3ea7ff1abe6f06da0e50c13d0b22/eaa"" target=""_blank"" rel=""nofollow""> Sofka Technologies <svg class=""icon""><use xlink:href=""#icon-external-light""></use></svg> </a> </p>",QA
Docentes Especialistas en QA LATAM (Medio tiempo),TripleTen,"Quito, Pichincha",$700,,Tiempo parcial,Permanente,"es un servicio que empodera a las personas, sin importar su experiencia previa, para embarcarse en el emocionante y desafiante camino de dominar profesiones tecnológicas. Nuestros bootcamps se enfocan en capacitar a los estudiantes en Análisis de datos, Ciencia de datos, Desarrollo web y Ingeniería de aseguramiento de calidad (QA) y Diseño UX/UI de una manera accesible y viable, llevándolos finalmente a prosperar en una nueva carrera. Nuestra misión es garantizar que cada estudiante tenga la oportunidad de dominar con éxito una nueva profesión, encontrar su propósito y convertirse en un miembro valioso de la industria tecnológica. ¿Cuál es nuestro objetivo? Estamos en búsqueda continua de especialistas en QA con experiencia, para acompañar y ayudar a nuestros estudiantes a convertirse en desarrolladores profesionales. Puedes unirte a nosotros a tiempo parcial, dedicando de 12 a 30 horas por semana, según tu disponibilidad. Postúlate aquí — revisamos las solicitudes de manera continua e invitamos a los candidatos seleccionados a grabar un video respondiendo algunas preguntas y a realizar una tarea de prueba. Si hay una vacante disponible, te la asignaremos de inmediato; si no, guardaremos tu perfil y la tarea completada para futuras oportunidades. Por favor, envía tu CV en inglés. What you will do: Hay tres roles de enseñanza para los estudiantes: Tutores, Instructores y Revisores de Código. Los Tutores apoyan a los estudiantes respondiendo sus preguntas y brindando orientación práctica a través de: <ul> <li>Realización de webinars en vivo (una o dos veces por semana).</li> <li>Chats con los estudiantes.</li> <li>Sesiones 1:1 con los estudiantes, dedicando al menos 10 horas semanales para seguimiento personalizado y orientación práctica.</li> </ul> ⌛ Este rol requiere 16 a 20 horas de disponibilidad, con énfasis en el horario de 7pm a 10pm hora CDMX (lunes a viernes). Como Instructor, tu misión es ayudar a los estudiantes a resolver todas sus dudas sobre el contenido del programa y guiarlos a través de ejercicios y proyectos. Tú asistirás a los estudiantes vía Discord: <ul> <li>Liderando sesiones en el espacio de Co-learning de QA, un canal de voz disponible para estudiantes de todas las cohortes y diferentes niveles de conocimiento, donde los estudiantes pueden hacer consultas, compartir pantalla y resolver dudas.</li> <li>Respondiendo las preguntas escritas de los estudiantes en un máximo de 6 horas (al menos 2 horas por día).</li> </ul> ⌛ Este rol requiere 12 a 15 horas de disponibilidad. ﻿ Como Revisor de Código, revisarás los proyectos de los estudiantes y proporcionarás retroalimentación. La comunicación con los estudiantes se realiza a través de chat. ⌛ Este rol es flexible y requiere hasta 30 horas de disponibilidad por semana, de lunes a viernes. ﻿ Y lo más importante: ¡serás una fuente de inspiración para tus estudiantes! What we can offer you: <ul> <li>La posibilidad de enseñar a los estudiantes mientras desempeñas tu trabajo principal.</li> <li>Ingresos promedio de $700 a $1500 USD al mes por una colaboración flexible de medio tiempo, con gran impacto ¡y un equipo increíble!</li> <li>Cooperación remota con un horario conveniente tanto para ti como para el equipo. No nos enfocamos en la microgestión.</li> <li>Experiencia intercultural: Forma parte de un equipo internacional y conecta con estudiantes de diversos contextos.</li> <li>Impacto significativo: Comparte tu conocimiento y ayuda a otros a iniciar su carrera en tecnología.</li> <li>Participación en nuevos proyectos: Contribuye a mejorar la experiencia educativa de los estudiantes.</li> <li>Crecimiento profesional: Recibe retroalimentación para seguir desarrollándote como educador.</li> </ul> Para el , estamos buscando un(a) ingeniero(a) de calidad (QA) experimentado, que cumpla con los siguientes requisitos: <ul> <li>Al menos 3 años de experiencia laboral en QA automatizado (experiencia con aplicaciones móviles es una ventaja).</li> <li>Experiencia en automatización de pruebas con Selenium + Python.</li> <li>Conocimiento en el uso de la línea de comandos, herramientas de desarrollo del navegador (DevTools), analizadores de tráfico como Charles o Fiddler, y herramientas de pruebas de API como SoapUI y Postman.</li> <li>Familiaridad con la teoría de pruebas y el diseño de pruebas, así como conocimientos básicos en sistemas operativos, redes y arquitectura de sistemas.</li> <li>Conocimientos básicos de SQL.</li> <li>Dominio de inglés y español.</li> <li>Disponibilidad de al menos 12-30 horas semanales para dedicar a tus estudiantes.</li> </ul> <p class=""source"" data-source=""Spark Hire"" data-site=""www.sparkhire.com.ats.organic""> <a href=""/job/ec2b610035e4ff5e87804e28a05b06aeb3/eaa"" target=""_blank"" rel=""nofollow""> TripleTen <svg class=""icon""><use xlink:href=""#icon-external-light""></use></svg> </a> </p>",QA
QA Automation Engineer - Sector Financiero/Bancario,Devsu,"Guayaquil, Guayas",,,Tiempo completo,Permanente,"Buscamos un/a Ingeniero/a QA Automation con experiencia comprobada en pruebas automatizadas de software. Esta posición es híbrida en Quito/Ecuador. Funciones: <ul> <li>Diseñar, desarrollar y ejecutar pruebas automatizadas para validar funcionalidades.</li> <li>Colaborar con el equipo de desarrollo y producto para entender requerimientos y criterios de aceptación.</li> <li>Documentar y reportar defectos de manera clara y precisa.</li> <li>Participar en la definición de estrategias de prueba.</li> <li>Ejecutar pruebas en entornos que incluyan modelos de datos complejos.</li> <li>Desarrollar scripts de pruebas y mantenerlos actualizados.</li> <li>Validar calidad de datos y funcionamiento en bases de datos SQL y NoSQL.</li> <li>Utilizar herramientas de automatización de pruebas como Cypress, Karate, Serenity, K6, entre otras.</li> <li>Apoyar la mejora continua de los procesos de testing.</li> </ul> Requirements <ul> <li>Mínimo 2 años de experiencia comprobada como Ingeniero QA.</li> </ul> <ul> <li>Experiencia en automatización de pruebas de software.</li> <li>Habilidades de programación básicas a intermedias.</li> <li>Experiencia en pruebas de software, preferiblemente en entornos de desarrollo de modelos de datos.</li> <li>Conocimiento en metodologías de pruebas y diseño de casos de prueba.</li> <li>Manejo de bases de datos SQL y NoSQL.</li> <li>Experiencia con herramientas de automatización como Serenity, Karate, K6, Cypress, Protractor, TestCafe, Appium, entre otras.</li> </ul> Deseables: <ul> <li>Certificación ISTQB o similar.</li> <li>Conocimiento de buenas prácticas de desarrollo: Git, TDD, revisiones de código, CI/CD.</li> <li>Experiencia en herramientas RPA (Robotic Process Automation).</li> <li>Experiencia previa en entornos ágiles.</li> </ul> Benefits En Devsu, queremos crear un ambiente donde puedas prosperar tanto personal como profesionalmente. Al unirte a nuestro equipo, disfrutarás de: <ul> <li>Un contrato estable a largo plazo con oportunidades de crecimiento profesional</li> <li>Seguro médico privado</li> <li>Programas continuos de capacitación, mentoría y aprendizaje para mantenerte a la vanguardia de la industria</li> <li>Acceso gratuito a recursos de capacitación en IA y herramientas de IA de última generación para elevar tu trabajo diario</li> <li>Una política flexible de tiempo libre remunerado (PTO) además de días festivos pagados</li> <li>Proyectos de software desafiantes de clase mundial para clientes en Estados Unidos y Latinoamérica</li> <li>Colaboración con algunos de los ingenieros de software más talentosos de Latinoamérica y Estados Unidos, en un entorno de trabajo diverso</li> </ul> Únete a Devsu y descubre un lugar de trabajo que valora tu crecimiento, apoya tu bienestar y te empodera para generar un impacto global. <p class=""source"" data-source=""Workable"" data-site=""www.workable.com.ats.organic""> <a href=""/job/ec0475e751785047013372a88684ca4707/eaa"" target=""_blank"" rel=""nofollow""> Devsu <svg class=""icon""><use xlink:href=""#icon-external-light""></use></svg> </a> </p>",QA
QA Automation Engineer - Sector Financiero/Bancario,Devsu,"Ambato, Tungurahua",,,Tiempo completo,Permanente,"Buscamos un/a Ingeniero/a QA Automation con experiencia comprobada en pruebas automatizadas de software. Esta posición es híbrida en Quito/Ecuador. Funciones: <ul> <li>Diseñar, desarrollar y ejecutar pruebas automatizadas para validar funcionalidades.</li> <li>Colaborar con el equipo de desarrollo y producto para entender requerimientos y criterios de aceptación.</li> <li>Documentar y reportar defectos de manera clara y precisa.</li> <li>Participar en la definición de estrategias de prueba.</li> <li>Ejecutar pruebas en entornos que incluyan modelos de datos complejos.</li> <li>Desarrollar scripts de pruebas y mantenerlos actualizados.</li> <li>Validar calidad de datos y funcionamiento en bases de datos SQL y NoSQL.</li> <li>Utilizar herramientas de automatización de pruebas como Cypress, Karate, Serenity, K6, entre otras.</li> <li>Apoyar la mejora continua de los procesos de testing.</li> </ul> Requirements <ul> <li>Mínimo 2 años de experiencia comprobada como Ingeniero QA.</li> </ul> <ul> <li>Experiencia en automatización de pruebas de software.</li> <li>Habilidades de programación básicas a intermedias.</li> <li>Experiencia en pruebas de software, preferiblemente en entornos de desarrollo de modelos de datos.</li> <li>Conocimiento en metodologías de pruebas y diseño de casos de prueba.</li> <li>Manejo de bases de datos SQL y NoSQL.</li> <li>Experiencia con herramientas de automatización como Serenity, Karate, K6, Cypress, Protractor, TestCafe, Appium, entre otras.</li> </ul> Deseables: <ul> <li>Certificación ISTQB o similar.</li> <li>Conocimiento de buenas prácticas de desarrollo: Git, TDD, revisiones de código, CI/CD.</li> <li>Experiencia en herramientas RPA (Robotic Process Automation).</li> <li>Experiencia previa en entornos ágiles.</li> </ul> Benefits En Devsu, queremos crear un ambiente donde puedas prosperar tanto personal como profesionalmente. Al unirte a nuestro equipo, disfrutarás de: <ul> <li>Un contrato estable a largo plazo con oportunidades de crecimiento profesional</li> <li>Seguro médico privado</li> <li>Programas continuos de capacitación, mentoría y aprendizaje para mantenerte a la vanguardia de la industria</li> <li>Acceso gratuito a recursos de capacitación en IA y herramientas de IA de última generación para elevar tu trabajo diario</li> <li>Una política flexible de tiempo libre remunerado (PTO) además de días festivos pagados</li> <li>Proyectos de software desafiantes de clase mundial para clientes en Estados Unidos y Latinoamérica</li> <li>Colaboración con algunos de los ingenieros de software más talentosos de Latinoamérica y Estados Unidos, en un entorno de trabajo diverso</li> </ul> Únete a Devsu y descubre un lugar de trabajo que valora tu crecimiento, apoya tu bienestar y te empodera para generar un impacto global. <p class=""source"" data-source=""Workable"" data-site=""www.workable.com.ats.organic""> <a href=""/job/ecf5d45ef1f2764960483b9f0adfb9551d/eaa"" target=""_blank"" rel=""nofollow""> Devsu <svg class=""icon""><use xlink:href=""#icon-external-light""></use></svg> </a> </p>",QA
QA Automation Engineer - Sector Financiero/Bancario,Devsu,"Cuenca, Azuay",,,Tiempo completo,Permanente,"Buscamos un/a Ingeniero/a QA Automation con experiencia comprobada en pruebas automatizadas de software. Esta posición es híbrida en Quito/Ecuador. Funciones: <ul> <li>Diseñar, desarrollar y ejecutar pruebas automatizadas para validar funcionalidades.</li> <li>Colaborar con el equipo de desarrollo y producto para entender requerimientos y criterios de aceptación.</li> <li>Documentar y reportar defectos de manera clara y precisa.</li> <li>Participar en la definición de estrategias de prueba.</li> <li>Ejecutar pruebas en entornos que incluyan modelos de datos complejos.</li> <li>Desarrollar scripts de pruebas y mantenerlos actualizados.</li> <li>Validar calidad de datos y funcionamiento en bases de datos SQL y NoSQL.</li> <li>Utilizar herramientas de automatización de pruebas como Cypress, Karate, Serenity, K6, entre otras.</li> <li>Apoyar la mejora continua de los procesos de testing.</li> </ul> Requirements <ul> <li>Mínimo 2 años de experiencia comprobada como Ingeniero QA.</li> </ul> <ul> <li>Experiencia en automatización de pruebas de software.</li> <li>Habilidades de programación básicas a intermedias.</li> <li>Experiencia en pruebas de software, preferiblemente en entornos de desarrollo de modelos de datos.</li> <li>Conocimiento en metodologías de pruebas y diseño de casos de prueba.</li> <li>Manejo de bases de datos SQL y NoSQL.</li> <li>Experiencia con herramientas de automatización como Serenity, Karate, K6, Cypress, Protractor, TestCafe, Appium, entre otras.</li> </ul> Deseables: <ul> <li>Certificación ISTQB o similar.</li> <li>Conocimiento de buenas prácticas de desarrollo: Git, TDD, revisiones de código, CI/CD.</li> <li>Experiencia en herramientas RPA (Robotic Process Automation).</li> <li>Experiencia previa en entornos ágiles.</li> </ul> Benefits En Devsu, queremos crear un ambiente donde puedas prosperar tanto personal como profesionalmente. Al unirte a nuestro equipo, disfrutarás de: <ul> <li>Un contrato estable a largo plazo con oportunidades de crecimiento profesional</li> <li>Seguro médico privado</li> <li>Programas continuos de capacitación, mentoría y aprendizaje para mantenerte a la vanguardia de la industria</li> <li>Acceso gratuito a recursos de capacitación en IA y herramientas de IA de última generación para elevar tu trabajo diario</li> <li>Una política flexible de tiempo libre remunerado (PTO) además de días festivos pagados</li> <li>Proyectos de software desafiantes de clase mundial para clientes en Estados Unidos y Latinoamérica</li> <li>Colaboración con algunos de los ingenieros de software más talentosos de Latinoamérica y Estados Unidos, en un entorno de trabajo diverso</li> </ul> Únete a Devsu y descubre un lugar de trabajo que valora tu crecimiento, apoya tu bienestar y te empodera para generar un impacto global. <p class=""source"" data-source=""Workable"" data-site=""www.workable.com.ats.organic""> <a href=""/job/ec97351a60ae268e2d0a85d959fb9a3296/eaa"" target=""_blank"" rel=""nofollow""> Devsu <svg class=""icon""><use xlink:href=""#icon-external-light""></use></svg> </a> </p>",QA
Ingeniero de Procesos QA,Chemmaster,"Duran, Guayas",,,Tiempo completo,Permanente,"Conocimientos: <ul> <li>Conocimientos de manejo de ERP ( Microsoft Dynamics 365 deseable)</li> <li>Conocimiento de DEVOPS (deseable )</li> <li>Conocimientos de lenguaje de programación C# ( Deseable)</li> <li>Metodología Scrum</li> <li>Conocimiento de herramienta JIRA</li> </ul> Tareas y responsabilidades principales: <ul> <li>Planificación y diseño de pruebas</li> <li>Ejecución de pruebas</li> <li>Documentación de errores</li> <li>Seguimiento y análisis</li> <li>Trabajar de forma colaborativa con desarrolladores del equipo para comunicar los problemas y verificar las soluciones.</li> </ul> Requisitos: Experiencia: <ul> <li>Mínimo de 2 años</li> </ul> Formación académica: <ul> <li>Los títulos en</li> </ul> , o <p class=""source"" data-source=""Multitrabajos"" data-site=""www.multitrabajos.com""> Multitrabajos </p>",QA
Analista Funcional Tecnología QA,doublevpartners,"Guayaquil, Guayas",,,Tiempo completo,Permanente,"Levantamiento y análisis de requerimientos funcionales y no funcionales mediante entrevistas, workshops y sesiones con stakeholders. Documentación casos de uso, historias de usuario, flujos, criterios de aceptación y trazabilidad endtoend. Gestión del ciclo de proyecto inicioviabilidad, planificación, ejecución incl. coordinación con proveedores, seguimiento de hitosOKRKPI y cierre. Validación funcional con equipos de desarrollo y QA soporte a pruebas UAT. Mejora de procesos identificación de optimizaciones, modelado y medición KPI. Requisitos Experiencia sólida en análisis y validación de requisitos. Metodologías ScrumKanban deseable RUPWaterfall. Herramientas Jira, Confluence, Power BI, Excel SQL básico para validaciones. Conocimiento de testing funcional y diseño de casos de prueba. <p class=""source"" data-source=""Computrabajo"" data-site=""www.computrabajo.com.ec""> Computrabajo </p>",QA
"QA Semisenior | Híbrido en Uruguay, Colombia y Ecuador",Sofka Technologies,"Quito, Pichincha",,,Tiempo completo,,"✨ ¿Estás buscando nuevos desafíos y un lugar donde puedas disfrutar de un ambiente cercano mientras aprendes constantemente? ¡Bienvenido a un equipo con un propósito claro: ""TRANSFORMAR la vida de las personas siendo el aliado TECNOLÓGICO más confiable""! 🚀💡 ¡Prepárate y únete a esta aventura! 🎯 ¿Qué encontrarás? 🔧 Retos técnicos y personales que te mantendrán en constante crecimiento. 🤝 Un equipo conectado, enfocado en tu bienestar físico y mental. 🌱 Cultura de mejora continua, fresca y colaborativa, con oportunidades de aprendizaje y gente dispuesta a apoyarte. 🎓 KaizenHub, un programa diseñado para potenciar tus talentos, con feedback, mentorías y coaching a través de Sofka U. ¡Será un reto y un juego a la vez! 🧠🎮 🎉 Programas como Happy Kaizen y WeSofka que cuidan tu bienestar físico y emocional. ¿Qué buscamos? Buscamos un QA Automatizador Semisenior con al menos 3 años de experiencia, que disfrute asegurar la calidad, prevenir fallos y llevar la automatización a otro nivel 🚀 ¿Qué harás? <ul> <li>Ejecutarás pruebas manuales y automáticas (funcionales y no funcionales) para evaluar el comportamiento del software.</li> <li>Colaborarás en la implementación de prácticas de pruebas con estándares internacionales a lo largo del ciclo de desarrollo.</li> <li>Apoyarás la automatización de pruebas para frontend y backend.</li> <li>Contribuirás con la documentación de resultados, el análisis de métricas de calidad, seguimiento de errores y cobertura de pruebas.</li> <li>Participarás en el uso de herramientas de performance, gestión de defectos y CI/CD.</li> <li>Estarás en constante aprendizaje y desarrollo en QA, acompañada por profesionales más experimentados.</li> </ul> ¿Qué buscamos? <ul> <li>Experiencia en Data Testing, pruebas ETL y SQL.</li> <li>Serenity BDD, Cypress, Karate, Robot Framework.</li> <li>Conocimiento en herramientas de gestión de pruebas de software.</li> <li>Conocimientos en procesos de pruebas (ISTQB FL / AT) y tipos de pruebas.</li> <li>Manejo de herramientas de performance, pruebas funcionales y frameworks de automatización.</li> <li>Conocimientos medios en CI/CD y manejo de pipelines.</li> <li>Bases en analítica de datos y pruebas de performance.</li> <li>Familiaridad con metodologías ágiles y tradicionales.</li> <li>Conocimientos en Java o Python, patrón de diseño Screenplay y principios SOLID.</li> </ul> ✨ Es plus si cuentas con: <ul> <li>Experiencia con STRATIO y proyectos del sector bancario.</li> <li>Certificación ISTQB.</li> </ul> Condiciones 📝Contrato a término indefinido ¡Queremos relaciones a largo plazo y que seas parte de nuestra familia por mucho tiempo! 🚀 ¿Buscas crecimiento profesional? En Sofka, te ofrecemos un ecosistema de aprendizaje con múltiples herramientas para cerrar brechas y potenciar tus habilidades. ¡Tú decides cómo quieres crecer! 🌟📚 🌍Modalidad: Híbrido desde Uruguay o Colombia o presencial en Quito. <p class=""source"" data-source=""Teamtailor"" data-site=""www.teamtailor.com.ats.organic""> <a href=""/job/ec12ec449cc74533e44048642ca38b36ca/eaa"" target=""_blank"" rel=""nofollow""> Sofka Technologies <svg class=""icon""><use xlink:href=""#icon-external-light""></use></svg> </a> </p>",QA
QA Automatizador | ECU,Sofka Technologies,"Quito, Pichincha",,,Tiempo completo,Permanente,"Esta no es una vacante convencional Sofka Talent Day – Ecuador Estás a punto de postularte a una experiencia única: Un evento presencial exclusivo para perfiles TI seleccionados. Si tu perfil se alinea con esta vacante, tendrás la oportunidad de: 💻 Participar en un proceso corto virtual (reto técnico y/o entrevista técnica) 📅 Y si avanzas, serás invitado/a a una jornada presencial en Quito 🎤 Con charlas, entrevistas en vivo y conexión directa con nuestra cultura ¿Quieres vivir Sofka desde adentro? Sigue leyendo y postúlate. ¡Esta experiencia puede ser para ti! ¿Qué buscamos? 💡 Un QA Automatizador con 4 a 5 años de experiencia, capaz de liderar procesos de pruebas manuales y automáticas para asegurar la calidad de software en todo su ciclo de vida. Este rol será clave para implementar prácticas de prueba internacionales, automatizar flujos en frontend, backend y móviles, y garantizar métricas de calidad que impulsen la excelencia en cada entrega. Responsabilidades principales: <ul> <li>Diseñar estrategias y planes de prueba basados en historias de usuario (BDD).</li> <li>Ejecutar pruebas funcionales y no funcionales.</li> <li>Implementar y mantener flujos de automatización en frontend (web, móviles) y backend (servicios).</li> <li>Colaborar en la definición de criterios de aceptación y levantamiento de riesgos de calidad.</li> <li>Gestionar defectos y documentar resultados de pruebas.</li> <li>Diseñar y aplicar métricas de calidad (bugs, cobertura de pruebas, calidad de código).</li> <li>Utilizar herramientas de performance y pruebas de carga.</li> <li>Participar en eventos ágiles y promover mejores prácticas de pruebas.</li> <li>Trabajar con código fuente en repositorios de versionamiento.</li> <li>Colaborar en la integración de analítica de datos y modelos de IA en el proceso de prueba.</li> </ul> Requisitos: <ul> <li>Formación: Ingeniero en sistemas o carreras afines.</li> <li>Experiencia: 4 a 5 años como QA Automatizador Senior.</li> <li>Conocimientos en procesos de prueba (ISTQB FL / AT).</li> <li>Experiencia en pruebas funcionales, no funcionales y de performance.</li> <li>Conocimiento medio en CI/CD, pipelines y herramientas de integración continua.</li> <li>Experiencia en pruebas ETL y analítica de datos.</li> </ul> Conocimientos técnicos: <ul> <li>Automatización: Cypress, Appium, Serenity BDD, ScreenPlay, Gherkin-Cucumber, Karate.</li> <li>Lenguajes y frameworks: JavaScript, Python, Gradle.</li> <li>Performance y calidad: JMeter, SonarQube.</li> <li>API Testing: API Serenity.</li> <li>Gestión: Jira.</li> <li>Versionamiento y despliegue: Azure CI/CD, Git.</li> <li>Bases de datos: PostgreSQL, MongoDB, Redis, Cosmos, Oracle.</li> <li>IA y productividad: GitHub Copilot.</li> </ul> Condiciones 📝Contrato a término indefinido ¡Queremos relaciones a largo plazo y que seas parte de nuestra familia por mucho tiempo! 🚀 ¿Buscas crecimiento profesional? En Sofka, te ofrecemos un ecosistema de aprendizaje con múltiples herramientas para cerrar brechas y potenciar tus habilidades. ¡Tú decides cómo quieres crecer! 🌟📚 <p class=""source"" data-source=""Teamtailor"" data-site=""www.teamtailor.com.ats.organic""> <a href=""/job/ec8e011c8a62b87fd2008f9f476e15d866/eaa"" target=""_blank"" rel=""nofollow""> Sofka Technologies <svg class=""icon""><use xlink:href=""#icon-external-light""></use></svg> </a> </p>",QA
